dataset,scenario,player,members,n_players,full_coalition_mask,gate_mass,group_shapley_mse_utility,original_shapley_sum,zero_gate_positive_shapley
bvcc,remove_rmvpe_quant_9,rmvpe_cont,rmvpe_cont,9,895,1.4769078226562794e-18,0.0070210565383652555,0.0067889668954615,True
bvcc,remove_rmvpe_quant_9,ced,ced,9,895,0.22220198950847742,0.11627336007666138,0.1157634226176209,False
bvcc,remove_rmvpe_quant_9,egemaps,egemaps,9,895,3.2005669307595772e-18,0.05039260528307369,0.0499943334078764,True
bvcc,remove_egemaps_9,whisper,whisper,9,511,0.24948349011444101,0.07111986168546756,0.0656409766500212,False
bvcc,remove_egemaps_9,contentvec12,contentvec12,9,511,0.061386658325164746,0.08613022438443818,0.0794300185706519,False
bvcc,remove_egemaps_9,wavlm,wavlm,9,511,0.1672053415790382,0.10170110238318406,0.0938985319548183,False
bvcc,remove_egemaps_9,beats,beats,9,511,0.2002819655392476,0.12211657841620142,0.113699189287165,False
bvcc,remove_egemaps_9,auditory_erb,auditory_erb,9,511,0.0,0.02632982252957838,0.0231557485873749,True
bvcc,remove_egemaps_9,speaker,speaker,9,511,0.09944092848916998,0.09392853599633767,0.0857772467910995,False
bvcc,remove_egemaps_9,rmvpe_cont,rmvpe_cont,9,511,1.964143673229614e-17,0.007736964410542443,0.0067889668954615,True
bvcc,remove_egemaps_9,rmvpe_quant,rmvpe_quant,9,511,1.4655919918765537e-17,0.0037846179998276782,0.0033863461246304,True
bvcc,remove_egemaps_9,ced,ced,9,511,0.22220161595293836,0.12468708295430495,0.1157634226176209,False
bvcc,remove_quant_and_egemaps_8,whisper,whisper,8,383,0.24948344643161843,0.07117306279164591,0.0656409766500212,False
bvcc,remove_quant_and_egemaps_8,contentvec12,contentvec12,8,383,0.06138681724650979,0.08645048750591619,0.0794300185706519,False
bvcc,remove_quant_and_egemaps_8,wavlm,wavlm,8,383,0.16720408573057582,0.10232377534342446,0.0938985319548183,False
bvcc,remove_quant_and_egemaps_8,beats,beats,8,383,0.2002821906796523,0.1225657683135975,0.113699189287165,False
bvcc,remove_quant_and_egemaps_8,auditory_erb,auditory_erb,8,383,3.53832661243315e-17,0.02717260966497377,0.0231557485873749,True
bvcc,remove_quant_and_egemaps_8,speaker,speaker,8,383,0.09944120536896946,0.0944720592345816,0.0857772467910995,False
bvcc,remove_quant_and_egemaps_8,rmvpe_cont,rmvpe_cont,8,383,0.0,0.008046106269848344,0.0067889668954615,True
bvcc,remove_quant_and_egemaps_8,ced,ced,8,383,0.22220225454267428,0.1253309724308346,0.1157634226176209,False
singmos,original_10,whisper,whisper,10,1023,0.10357329591730864,-0.01131540369867168,-0.0113154036986716,False
singmos,original_10,contentvec12,contentvec12,10,1023,0.07613557020214748,-0.0004963243074456662,-0.0004963243074456,False
singmos,original_10,wavlm,wavlm,10,1023,0.21563143211779698,0.03209202599836027,0.0320920259983602,False
singmos,original_10,beats,beats,10,1023,0.1525446447712445,0.03749347645412318,0.0374934764541231,False
singmos,original_10,auditory_erb,auditory_erb,10,1023,1.0052997299597863e-17,0.01805689061473491,0.0180568906147349,True
singmos,original_10,speaker,speaker,10,1023,0.007803350716647267,0.032383661308373855,0.0323836613083738,False
singmos,original_10,rmvpe_cont,rmvpe_cont,10,1023,6.998570022019254e-18,0.0111100055314321,0.0111100055314321,True
singmos,original_10,rmvpe_quant,rmvpe_quant,10,1023,4.211818390662805e-18,0.002701197236372158,0.0027011972363721,True
singmos,original_10,ced,ced,10,1023,0.2313996295974314,0.06047271402876266,0.0604727140287626,False
singmos,original_10,egemaps,egemaps,10,1023,0.2129120766774237,0.05787560629144527,0.0578756062914452,False
singmos,rmvpe_grouped_9,whisper,whisper,9,1023,0.10357329591730864,-0.014977165157702995,-0.0113154036986716,False
singmos,rmvpe_grouped_9,contentvec12,contentvec12,9,1023,0.07613557020214748,-0.0023216454384008423,-0.0004963243074456,False
singmos,rmvpe_grouped_9,wavlm,wavlm,9,1023,0.21563143211779698,0.03186283139604211,0.0320920259983602,False
singmos,rmvpe_grouped_9,beats,beats,9,1023,0.1525446447712445,0.03712919699895352,0.0374934764541231,False
singmos,rmvpe_grouped_9,auditory_erb,auditory_erb,9,1023,1.0052997299597863e-17,0.018902890257865044,0.0180568906147349,True
singmos,rmvpe_grouped_9,speaker,speaker,9,1023,0.007803350716647267,0.03299286667302195,0.0323836613083738,False
singmos,rmvpe_grouped_9,ced,ced,9,1023,0.2313996295974314,0.0608889636934474,0.0604727140287626,False
singmos,rmvpe_grouped_9,egemaps,egemaps,9,1023,0.2129120766774237,0.058842271218260356,0.0578756062914452,False
singmos,rmvpe_grouped_9,rmvpe_cont+rmvpe_quant,rmvpe_cont;rmvpe_quant,9,1023,1.1210388412682059e-17,0.017053639816000835,0.0138112027678042,True
singmos,prosody_grouped_8,whisper,whisper,8,1023,0.10357329591730864,-0.018399627033376824,-0.0113154036986716,False
singmos,prosody_grouped_8,contentvec12,contentvec12,8,1023,0.07613557020214748,-0.0028705492240785,-0.0004963243074456,False
singmos,prosody_grouped_8,wavlm,wavlm,8,1023,0.21563143211779698,0.03391175127992196,0.0320920259983602,False
singmos,prosody_grouped_8,beats,beats,8,1023,0.1525446447712445,0.03899055024487993,0.0374934764541231,False
singmos,prosody_grouped_8,auditory_erb,auditory_erb,8,1023,1.0052997299597863e-17,0.023146763355469814,0.0180568906147349,True
singmos,prosody_grouped_8,speaker,speaker,8,1023,0.007803350716647267,0.03655466666362359,0.0323836613083738,False
singmos,prosody_grouped_8,ced,ced,8,1023,0.2313996295974314,0.06435564134428329,0.0604727140287626,False
singmos,prosody_grouped_8,rmvpe_cont+rmvpe_quant+egemaps,rmvpe_cont;rmvpe_quant;egemaps,8,1023,0.2129120766774237,0.064684652826764,0.0716868090592494,False
singmos,remove_rmvpe_quant_9,whisper,whisper,9,895,0.10357346686943969,-0.014663975886621078,-0.0113154036986716,False
singmos,remove_rmvpe_quant_9,contentvec12,contentvec12,9,895,0.07613555336814963,-0.002074321535420768,-0.0004963243074456,False
singmos,remove_rmvpe_quant_9,wavlm,wavlm,9,895,0.21563162127311808,0.03239860192752445,0.0320920259983602,False
singmos,remove_rmvpe_quant_9,beats,beats,9,895,0.152545291094987,0.037754565441888606,0.0374934764541231,False
singmos,remove_rmvpe_quant_9,auditory_erb,auditory_erb,9,895,0.0,0.019637366321586604,0.0180568906147349,True
singmos,remove_rmvpe_quant_9,speaker,speaker,9,895,0.00780233664174266,0.033635090553404697,0.0323836613083738,False
singmos,remove_rmvpe_quant_9,rmvpe_cont,rmvpe_cont,9,895,1.421261066744122e-17,0.012068734307903888,0.0111100055314321,True
singmos,remove_rmvpe_quant_9,ced,ced,9,895,0.231399799015064,0.061812425410827446,0.0604727140287626,False
singmos,remove_rmvpe_quant_9,egemaps,egemaps,9,895,0.212911931737499,0.05980530396867114,0.0578756062914452,False
singmos,remove_egemaps_9,whisper,whisper,9,511,0.10455685077389741,-0.011116735287744735,-0.0113154036986716,False
singmos,remove_egemaps_9,contentvec12,contentvec12,9,511,0.08978890532038514,0.0010306595072807545,-0.0004963243074456,False
singmos,remove_egemaps_9,wavlm,wavlm,9,511,0.2514566588340719,0.03899051519804858,0.0320920259983602,False
singmos,remove_egemaps_9,beats,beats,9,511,0.1686298517474918,0.044466425500294955,0.0374934764541231,False
singmos,remove_egemaps_9,auditory_erb,auditory_erb,9,511,0.04348599560457241,0.023550959750418706,0.0180568906147349,False
