dataset,scenario,feature,owen_mse_utility,original_shapley_mse_utility,sign_same
singmos,rmvpe_grouped_9,egemaps,0.058842271218260356,0.0578756062914452,True
singmos,rmvpe_grouped_9,rmvpe_cont,0.012731224055530403,0.0111100055314321,True
singmos,rmvpe_grouped_9,rmvpe_quant,0.004322415760470452,0.0027011972363721,True
singmos,prosody_grouped_8,whisper,-0.018399627033376824,-0.0113154036986716,True
singmos,prosody_grouped_8,contentvec12,-0.0028705492240785,-0.0004963243074456,True
singmos,prosody_grouped_8,wavlm,0.03391175127992196,0.0320920259983602,True
singmos,prosody_grouped_8,beats,0.03899055024487993,0.0374934764541231,True
singmos,prosody_grouped_8,auditory_erb,0.023146763355469814,0.0180568906147349,True
singmos,prosody_grouped_8,speaker,0.03655466666362359,0.0323836613083738,True
singmos,prosody_grouped_8,ced,0.06435564134428329,0.0604727140287626,True
singmos,prosody_grouped_8,rmvpe_cont,0.007827996183373353,0.0111100055314321,True
singmos,prosody_grouped_8,rmvpe_quant,0.0036966870372318397,0.0027011972363721,True
singmos,prosody_grouped_8,egemaps,0.05315996960615877,0.0578756062914452,True
singmos,remove_rmvpe_quant_9,whisper,-0.014663975886621078,-0.0113154036986716,True
singmos,remove_rmvpe_quant_9,contentvec12,-0.002074321535420768,-0.0004963243074456,True
singmos,remove_rmvpe_quant_9,wavlm,0.03239860192752445,0.0320920259983602,True
singmos,remove_rmvpe_quant_9,beats,0.037754565441888606,0.0374934764541231,True
singmos,remove_rmvpe_quant_9,auditory_erb,0.019637366321586604,0.0180568906147349,True
singmos,remove_rmvpe_quant_9,speaker,0.033635090553404697,0.0323836613083738,True
singmos,remove_rmvpe_quant_9,rmvpe_cont,0.012068734307903888,0.0111100055314321,True
singmos,remove_rmvpe_quant_9,ced,0.061812425410827446,0.0604727140287626,True
singmos,remove_rmvpe_quant_9,egemaps,0.05980530396867114,0.0578756062914452,True
singmos,remove_egemaps_9,whisper,-0.011116735287744735,-0.0113154036986716,True
singmos,remove_egemaps_9,contentvec12,0.0010306595072807545,-0.0004963243074456,False
singmos,remove_egemaps_9,wavlm,0.03899051519804858,0.0320920259983602,True
singmos,remove_egemaps_9,beats,0.044466425500294955,0.0374934764541231,True
singmos,remove_egemaps_9,auditory_erb,0.023550959750418706,0.0180568906147349,True
singmos,remove_egemaps_9,speaker,0.04076491464287426,0.0323836613083738,True
singmos,remove_egemaps_9,rmvpe_cont,0.014103599594343123,0.0111100055314321,True
singmos,remove_egemaps_9,rmvpe_quant,0.004630894913597953,0.0027011972363721,True
singmos,remove_egemaps_9,ced,0.07223876245276964,0.0604727140287626,True
singmos,remove_quant_and_egemaps_8,whisper,-0.015201225848056912,-0.0113154036986716,True
singmos,remove_quant_and_egemaps_8,contentvec12,-0.0007234323858654763,-0.0004963243074456,True
singmos,remove_quant_and_egemaps_8,wavlm,0.03975554861628868,0.0320920259983602,True
singmos,remove_quant_and_egemaps_8,beats,0.04513228327308499,0.0374934764541231,True
singmos,remove_quant_and_egemaps_8,auditory_erb,0.02645355572791778,0.0180568906147349,True
singmos,remove_quant_and_egemaps_8,speaker,0.04284996386256807,0.0323836613083738,True
singmos,remove_quant_and_egemaps_8,rmvpe_cont,0.015809331555749453,0.0111100055314321,True
singmos,remove_quant_and_egemaps_8,ced,0.07458393411429073,0.0604727140287626,True
tmhintqi,original_10,whisper,0.10396707453386891,0.1039670745338689,True
tmhintqi,original_10,contentvec12,0.08048643051013134,0.0804864305101313,True
tmhintqi,original_10,wavlm,0.10635058147464875,0.1063505814746487,True
tmhintqi,original_10,beats,0.10350273286130707,0.103502732861307,True
tmhintqi,original_10,auditory_erb,0.02215727982679565,0.0221572798267956,True
tmhintqi,original_10,speaker,0.07240336101846995,0.0724033610184699,True
tmhintqi,original_10,rmvpe_cont,0.0023433231040376743,0.0023433231040376,True
tmhintqi,original_10,rmvpe_quant,0.0032106215251430773,0.003210621525143,True
tmhintqi,original_10,ced,0.09636751170406631,0.0963675117040662,True
tmhintqi,original_10,egemaps,0.06949048836594003,0.06949048836594,True
tmhintqi,rmvpe_grouped_9,whisper,0.10419589526047894,0.1039670745338689,True
tmhintqi,rmvpe_grouped_9,contentvec12,0.08068295382841947,0.0804864305101313,True
tmhintqi,rmvpe_grouped_9,wavlm,0.10657948283997909,0.1063505814746487,True
tmhintqi,rmvpe_grouped_9,beats,0.10372064986133352,0.103502732861307,True
tmhintqi,rmvpe_grouped_9,auditory_erb,0.02246283246327793,0.0221572798267956,True
tmhintqi,rmvpe_grouped_9,speaker,0.07267956157875129,0.0724033610184699,True
tmhintqi,rmvpe_grouped_9,ced,0.09661533179038652,0.0963675117040662,True
tmhintqi,rmvpe_grouped_9,egemaps,0.06975818093154307,0.06949048836594,True
tmhintqi,rmvpe_grouped_9,rmvpe_cont,0.0013586089745665018,0.0023433231040376,True
tmhintqi,rmvpe_grouped_9,rmvpe_quant,0.002225907395671904,0.003210621525143,True
tmhintqi,prosody_grouped_8,whisper,0.10467913433404591,0.1039670745338689,True
tmhintqi,prosody_grouped_8,contentvec12,0.08092454629370105,0.0804864305101313,True
tmhintqi,prosody_grouped_8,wavlm,0.10689288666768698,0.1063505814746487,True
tmhintqi,prosody_grouped_8,beats,0.10398715994699147,0.103502732861307,True
tmhintqi,prosody_grouped_8,auditory_erb,0.0237291883102586,0.0221572798267956,True
tmhintqi,prosody_grouped_8,speaker,0.0730355628612801,0.0724033610184699,True
tmhintqi,prosody_grouped_8,ced,0.09693099400361194,0.0963675117040662,True
tmhintqi,prosody_grouped_8,rmvpe_cont,0.0009371539527417281,0.0023433231040376,True
tmhintqi,prosody_grouped_8,rmvpe_quant,0.0015001574099394776,0.003210621525143,True
tmhintqi,prosody_grouped_8,egemaps,0.06766262114415138,0.06949048836594,True
tmhintqi,remove_rmvpe_quant_9,whisper,0.10432117336608639,0.1039670745338689,True
tmhintqi,remove_rmvpe_quant_9,contentvec12,0.08080359186148345,0.0804864305101313,True
tmhintqi,remove_rmvpe_quant_9,wavlm,0.1067068536478925,0.1063505814746487,True
tmhintqi,remove_rmvpe_quant_9,beats,0.10384401721306165,0.103502732861307,True
tmhintqi,remove_rmvpe_quant_9,auditory_erb,0.02255217512689434,0.0221572798267956,True
tmhintqi,remove_rmvpe_quant_9,speaker,0.07280777633765885,0.0724033610184699,True
tmhintqi,remove_rmvpe_quant_9,rmvpe_cont,0.0026110186264215536,0.0023433231040376,True
tmhintqi,remove_rmvpe_quant_9,ced,0.0967445122130479,0.0963675117040662,True
tmhintqi,remove_rmvpe_quant_9,egemaps,0.06988828378978233,0.06949048836594,True
tmhintqi,remove_egemaps_9,whisper,0.11500197167754833,0.1039670745338689,True
tmhintqi,remove_egemaps_9,contentvec12,0.09101686812303504,0.0804864305101313,True
tmhintqi,remove_egemaps_9,wavlm,0.11795761875483025,0.1063505814746487,True
tmhintqi,remove_egemaps_9,beats,0.11494353054723787,0.103502732861307,True
tmhintqi,remove_egemaps_9,auditory_erb,0.025174574783125733,0.0221572798267956,True
tmhintqi,remove_egemaps_9,speaker,0.0821560728995815,0.0724033610184699,True
tmhintqi,remove_egemaps_9,rmvpe_cont,0.00248240936787124,0.0023433231040376,True
tmhintqi,remove_egemaps_9,rmvpe_quant,0.0036084169489854394,0.003210621525143,True
tmhintqi,remove_egemaps_9,ced,0.10793791980111848,0.0963675117040662,True
tmhintqi,remove_quant_and_egemaps_8,whisper,0.11545749915401238,0.1039670745338689,True
tmhintqi,remove_quant_and_egemaps_8,contentvec12,0.09142430986800876,0.0804864305101313,True
tmhintqi,remove_quant_and_egemaps_8,wavlm,0.11841530491208513,0.1063505814746487,True
tmhintqi,remove_quant_and_egemaps_8,beats,0.1153806584489652,0.103502732861307,True
tmhintqi,remove_quant_and_egemaps_8,auditory_erb,0.025681066083307877,0.0221572798267956,True
tmhintqi,remove_quant_and_egemaps_8,speaker,0.08267575397090568,0.0724033610184699,True
tmhintqi,remove_quant_and_egemaps_8,rmvpe_cont,0.0028226606104218965,0.0023433231040376,True
tmhintqi,remove_quant_and_egemaps_8,ced,0.10842213674963291,0.0963675117040662,True
