dataset,feature,gate,mse_utt_full,mse_sys_full,phi_utt,phi_sys,loo_utt,loo_sys
bvcc,egemaps,0.0,0.2098832669376959,0.22642320420440862,0.04999433340746452,0.0498801813267805,-9.873161704865296e-09,-7.563021486856059e-09
singmos,whisper,0.10357329591730864,0.3364765317307455,0.3411639804011253,-0.011315404193459465,-0.0024208741521405904,0.002996007280428259,0.0014076165618895353
singmos,contentvec12,0.07613557020214748,0.3364765317307455,0.3411639804011253,-0.0004963248022334288,0.005860869557101252,-0.002527770053276812,-0.0013404325992620314
singmos,wavlm,0.21563143211779698,0.3364765317307455,0.3411639804011253,0.032092025503572576,0.033660886323018176,0.003731597123838193,0.003116905989982044
singmos,beats,0.1525446447712445,0.3364765317307455,0.3411639804011253,0.03749347595933538,0.03918857070914843,0.001371946520389522,0.001952748079851907
singmos,auditory_erb,1.0052997299597863e-17,0.3364765317307455,0.3411639804011253,0.018056890119947152,0.01456930521496748,-1.540760913298911e-08,-4.642834949830643e-09
singmos,speaker,0.007803350716647267,0.3364765317307455,0.3411639804011253,0.03238366081358611,0.02952790061584277,0.00019434450771321776,7.348686114067027e-05
singmos,rmvpe_cont,6.998570022019254e-18,0.3364765317307455,0.3411639804011253,0.011110005036644303,0.0082686325584145,2.8730186285574888e-08,1.8153241021501287e-08
singmos,rmvpe_quant,4.211818390662805e-18,0.3364765317307455,0.3411639804011253,0.0027011967415843654,0.005792832923045903,5.894772164838358e-08,3.262685283056399e-08
singmos,ced,0.2313996295974314,0.3364765317307455,0.3411639804011253,0.06047271353397483,0.06664912632400644,0.010918609229412957,0.013622913567571948
singmos,egemaps,0.2129120766774237,0.3364765317307455,0.3411639804011253,0.05787560579665749,0.054304062836039856,0.011713853185603362,0.009946569257231974
tmhintqi,whisper,0.1921908739270383,0.3341072862528424,0.36149536544047767,0.1039670761390876,0.07183367195180818,0.009079519472684872,0.009886456826643741
tmhintqi,contentvec12,0.07161319808488463,0.3341072862528424,0.36149536544047767,0.08048643211535011,0.04455029843751101,0.0003072517821923193,0.00013841031497990874
tmhintqi,wavlm,0.16968607164707633,0.3341072862528424,0.36149536544047767,0.10635058307986729,0.07322148931010124,0.006453833942902887,0.007328001001467022
tmhintqi,beats,0.27102988535086064,0.3341072862528424,0.36149536544047767,0.10350273446652547,0.06652045180439257,0.005810825692773081,0.004840730099040624
tmhintqi,auditory_erb,0.0,0.3341072862528424,0.36149536544047767,0.022157281432014973,0.013304686696851748,3.5066510251091643e-09,2.6570691757932252e-09
tmhintqi,speaker,0.01175879950483767,0.3341072862528424,0.36149536544047767,0.07240336262368885,0.043120016247377074,-1.1852257731925775e-06,6.432156096636277e-05
tmhintqi,rmvpe_cont,3.0830880931868354e-17,0.3341072862528424,0.36149536544047767,0.002343324709257541,0.0028984687422943193,4.944764930847612e-09,4.4517541319955e-09
tmhintqi,rmvpe_quant,7.518079151371956e-19,0.3341072862528424,0.36149536544047767,0.0032106231303629077,0.0006017892265691268,2.7420787307441685e-09,1.8743417373734417e-09
tmhintqi,ced,0.28372117148530235,0.3341072862528424,0.36149536544047767,0.09636751330928502,0.0575550195899978,0.00022086471586224565,-0.0015510331404434696
tmhintqi,egemaps,0.0,0.3341072862528424,0.36149536544047767,0.06949048997115952,0.03481697270696363,2.2021074519429362e-08,2.0936580524821835e-08
