dataset,bootstrap,n_system_draws,n_unique_systems_drawn,alpha,feature,shapley_mse_utility
brspeech,15,6,3,10.0,egemaps,11.081509613981565
brspeech,15,6,3,10.0,rmvpe_cont,11.496228970661427
brspeech,15,6,3,10.0,rmvpe_quant,-69.88653056612118
brspeech,15,6,3,10.0,speaker,9.411736321253628
brspeech,15,6,3,10.0,wavlm,4.510348533629687
brspeech,15,6,3,10.0,whisper,6.252446095287053
brspeech,16,6,5,10.0,auditory_erb,0.0610562914777205
brspeech,16,6,5,10.0,beats,0.0465952735111764
brspeech,16,6,5,10.0,ced,0.1512104960127799
brspeech,16,6,5,10.0,contentvec12,0.0693008127913254
brspeech,16,6,5,10.0,egemaps,0.1767653907348658
brspeech,16,6,5,10.0,rmvpe_cont,0.0027290232454836
brspeech,16,6,5,10.0,rmvpe_quant,0.0035982766909606
brspeech,16,6,5,10.0,speaker,0.1282497744992058
brspeech,16,6,5,10.0,wavlm,0.1144722542978753
brspeech,16,6,5,10.0,whisper,-0.0738201097067716
brspeech,17,6,4,10.0,auditory_erb,0.0556220659325781
brspeech,17,6,4,10.0,beats,-0.0438547008823274
brspeech,17,6,4,10.0,ced,0.1006827939272206
brspeech,17,6,4,10.0,contentvec12,0.0366419610646924
brspeech,17,6,4,10.0,egemaps,0.4070913317988035
brspeech,17,6,4,10.0,rmvpe_cont,0.0814053414254873
brspeech,17,6,4,10.0,rmvpe_quant,-0.0635539708371416
brspeech,17,6,4,10.0,speaker,0.1956835595257074
brspeech,17,6,4,10.0,wavlm,0.3485373034293824
brspeech,17,6,4,10.0,whisper,-0.3399952760047926
brspeech,18,6,3,10.0,auditory_erb,0.0390518250584365
brspeech,18,6,3,10.0,beats,-0.0937247216123603
brspeech,18,6,3,10.0,ced,0.151846140324621
brspeech,18,6,3,10.0,contentvec12,0.1378279429403134
brspeech,18,6,3,10.0,egemaps,0.3479656966636643
brspeech,18,6,3,10.0,rmvpe_cont,0.1035073676354459
brspeech,18,6,3,10.0,rmvpe_quant,-0.2817456945697333
brspeech,18,6,3,10.0,speaker,0.1241803980683055
brspeech,18,6,3,10.0,wavlm,0.2067762760161837
brspeech,18,6,3,10.0,whisper,-0.1365783204927347
brspeech,19,6,4,10.0,auditory_erb,0.158867002042514
brspeech,19,6,4,10.0,beats,-0.0801590639576095
brspeech,19,6,4,10.0,ced,0.1361256254791193
brspeech,19,6,4,10.0,contentvec12,0.0060861284012607
brspeech,19,6,4,10.0,egemaps,0.2708905260995183
brspeech,19,6,4,10.0,rmvpe_cont,0.0632993833570706
brspeech,19,6,4,10.0,rmvpe_quant,-0.2599378371012881
brspeech,19,6,4,10.0,speaker,0.1829529147655969
brspeech,19,6,4,10.0,wavlm,0.1214254866726469
brspeech,19,6,4,10.0,whisper,-0.0928783242992726
brspeech,20,6,3,10.0,auditory_erb,0.4238652627360861
brspeech,20,6,3,10.0,beats,-0.2219000327789072
brspeech,20,6,3,10.0,ced,0.2388849429412604
brspeech,20,6,3,10.0,contentvec12,-0.3550952676365972
brspeech,20,6,3,10.0,egemaps,0.4020950971139708
brspeech,20,6,3,10.0,rmvpe_cont,0.1687575913366328
brspeech,20,6,3,10.0,rmvpe_quant,-0.3945749143016955
brspeech,20,6,3,10.0,speaker,0.1441599190897575
brspeech,20,6,3,10.0,wavlm,-0.1283570462341247
brspeech,20,6,3,10.0,whisper,-0.2287723452764045
brspeech,21,6,5,10.0,auditory_erb,0.0697426904204933
brspeech,21,6,5,10.0,beats,0.0451985339430014
brspeech,21,6,5,10.0,ced,0.1538212656212225
brspeech,21,6,5,10.0,contentvec12,0.0604334763155106
brspeech,21,6,5,10.0,egemaps,0.1931325148164918
brspeech,21,6,5,10.0,rmvpe_cont,0.0037693737039925
brspeech,21,6,5,10.0,rmvpe_quant,0.0066670651278136
brspeech,21,6,5,10.0,speaker,0.131150518004108
brspeech,21,6,5,10.0,wavlm,0.0986269246210427
brspeech,21,6,5,10.0,whisper,-0.0895150701104885
brspeech,22,6,4,10.0,auditory_erb,0.1581877463166602
brspeech,22,6,4,10.0,beats,-0.1339098714214577
brspeech,22,6,4,10.0,ced,0.2008556248880189
brspeech,22,6,4,10.0,contentvec12,0.1198489795892405
brspeech,22,6,4,10.0,egemaps,0.3116400388007979
brspeech,22,6,4,10.0,rmvpe_cont,0.0602370294160684
brspeech,22,6,4,10.0,rmvpe_quant,-0.4621573865955872
brspeech,22,6,4,10.0,speaker,0.1831296327154628
brspeech,22,6,4,10.0,wavlm,0.1439494815358702
brspeech,22,6,4,10.0,whisper,-0.0009931173711502
brspeech,23,6,5,10.0,auditory_erb,-1.3314877827467482
brspeech,23,6,5,10.0,beats,-0.1058490784629814
brspeech,23,6,5,10.0,ced,0.1621000952648169
brspeech,23,6,5,10.0,contentvec12,0.3277110076388925
brspeech,23,6,5,10.0,egemaps,0.5707757033561338
brspeech,23,6,5,10.0,rmvpe_cont,0.1335854083580801
brspeech,23,6,5,10.0,rmvpe_quant,0.0108573431989276
brspeech,23,6,5,10.0,speaker,0.3744870917096201
brspeech,23,6,5,10.0,wavlm,0.326762910537263
brspeech,23,6,5,10.0,whisper,0.0522303104906619
brspeech,24,6,5,10.0,auditory_erb,0.0450647826323229
brspeech,24,6,5,10.0,beats,0.0311004192221215
brspeech,24,6,5,10.0,ced,0.0950905043162399
brspeech,24,6,5,10.0,contentvec12,0.0507823739209542
brspeech,24,6,5,10.0,egemaps,0.2284160757105406
brspeech,24,6,5,10.0,rmvpe_cont,0.0378039512532628
brspeech,24,6,5,10.0,rmvpe_quant,-0.0190019672949736
brspeech,24,6,5,10.0,speaker,0.1287819683892193
brspeech,24,6,5,10.0,wavlm,0.066440783371733
brspeech,24,6,5,10.0,whisper,-0.0812695936418677
brspeech,25,6,4,10.0,auditory_erb,0.0588906606791915
brspeech,25,6,4,10.0,beats,0.0346398812838042
brspeech,25,6,4,10.0,ced,0.131362016911913
brspeech,25,6,4,10.0,contentvec12,0.0695475699152507
brspeech,25,6,4,10.0,egemaps,0.2110717102467202
brspeech,25,6,4,10.0,rmvpe_cont,0.0210217299758144
brspeech,25,6,4,10.0,rmvpe_quant,-0.0063011347609302
brspeech,25,6,4,10.0,speaker,0.1336352900111266
brspeech,25,6,4,10.0,wavlm,0.1130800198861009
brspeech,25,6,4,10.0,whisper,-0.0908128635661775
brspeech,26,6,4,10.0,auditory_erb,0.096320052354366
brspeech,26,6,4,10.0,beats,0.0210660029138381
brspeech,26,6,4,10.0,ced,0.2120130734934651
brspeech,26,6,4,10.0,contentvec12,0.1194437352527885
brspeech,26,6,4,10.0,egemaps,0.385810353781612
brspeech,26,6,4,10.0,rmvpe_cont,0.068517875905717
brspeech,26,6,4,10.0,rmvpe_quant,-0.665259038061979
brspeech,26,6,4,10.0,speaker,0.1725769377766409
brspeech,26,6,4,10.0,wavlm,0.1690756163967557
brspeech,26,6,4,10.0,whisper,0.0111398206613348
brspeech,27,6,4,10.0,auditory_erb,0.2370065238445126
brspeech,27,6,4,10.0,beats,0.0646066316133623
brspeech,27,6,4,10.0,ced,0.2580346112917225
brspeech,27,6,4,10.0,contentvec12,0.0985185509999511
brspeech,27,6,4,10.0,egemaps,0.4879262858116253
brspeech,27,6,4,10.0,rmvpe_cont,0.1682475322353633
brspeech,27,6,4,10.0,rmvpe_quant,-1.2671625235062094
brspeech,27,6,4,10.0,speaker,0.2192486367624182
brspeech,27,6,4,10.0,wavlm,0.1830231975861549
brspeech,27,6,4,10.0,whisper,-0.0172233157972626
brspeech,28,6,4,10.0,auditory_erb,-6.868852589143449
brspeech,28,6,4,10.0,beats,0.6454438100981797
brspeech,28,6,4,10.0,ced,0.6166334653896867
brspeech,28,6,4,10.0,contentvec12,0.6410740596682467
brspeech,28,6,4,10.0,egemaps,2.6740543866592943
brspeech,28,6,4,10.0,rmvpe_cont,0.3903336018411361
brspeech,28,6,4,10.0,rmvpe_quant,-0.0322697538203306
brspeech,28,6,4,10.0,speaker,0.1580422071075835
brspeech,28,6,4,10.0,wavlm,1.084515131529202
brspeech,28,6,4,10.0,whisper,0.8004249799271839
brspeech,29,6,4,10.0,auditory_erb,-0.8594935062058672
brspeech,29,6,4,10.0,beats,-0.5482273358471438
brspeech,29,6,4,10.0,ced,0.2425515655162112
brspeech,29,6,4,10.0,contentvec12,0.1844244514224759
brspeech,29,6,4,10.0,egemaps,0.5266368861659361
brspeech,29,6,4,10.0,rmvpe_cont,0.194995849588747
brspeech,29,6,4,10.0,rmvpe_quant,0.0058847592870499
brspeech,29,6,4,10.0,speaker,0.2504968117491022
brspeech,29,6,4,10.0,wavlm,0.1662480007489079
brspeech,29,6,4,10.0,whisper,0.0014576149875275
