dataset,outer_fold,method,k,mask,features,inner_equal_system_mse,inner_utterance_mse,outer_utterance_mse,n_outer_systems,n_outer_items,weights_json
tmhintqi,2,singleton,5,301,whisper+wavlm+beats+speaker+ced,0.9134800697407084,0.9017351140474372,0.8994638409432195,21,2393,"{""whisper"": 0.2193061453592266, ""wavlm"": 0.19319823939582395, ""beats"": 0.21583572572196597, ""speaker"": 0.11982737779354605, ""ced"": 0.25183251172943744}"
tmhintqi,2,singleton,6,303,whisper+contentvec12+wavlm+beats+speaker+ced,0.9119120324166498,0.9002905558567182,0.898071112799352,21,2393,"{""whisper"": 0.20972892582053787, ""contentvec12"": 0.0896079229091331, ""wavlm"": 0.16011489015040314, ""beats"": 0.20600443538520288, ""speaker"": 0.10358271839601699, ""ced"": 0.23096110733870612}"
tmhintqi,2,singleton,7,815,whisper+contentvec12+wavlm+beats+speaker+ced+egemaps,0.9119120439291803,0.9002921236564732,0.8980730894816313,21,2393,"{""whisper"": 0.20975478513280565, ""contentvec12"": 0.0893891312276274, ""wavlm"": 0.1601057501650009, ""beats"": 0.20608181663298922, ""speaker"": 0.10366571717646232, ""ced"": 0.23100279966511453, ""egemaps"": 0.0}"
tmhintqi,2,singleton,8,831,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+ced+egemaps,0.9119120494627831,0.9003013600991226,0.8980740988931306,21,2393,"{""whisper"": 0.20979020016095248, ""contentvec12"": 0.08955384703714656, ""wavlm"": 0.1601036467694974, ""beats"": 0.2058879164092362, ""auditory_erb"": 0.0, ""speaker"": 0.10384351011181864, ""ced"": 0.2308208795113488, ""egemaps"": 9.18861341181465e-18}"
tmhintqi,2,singleton,9,895,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+ced+egemaps,0.9119120323264944,0.9002900634208912,0.8980711187572638,21,2393,"{""whisper"": 0.20972846129709083, ""contentvec12"": 0.08961014833301627, ""wavlm"": 0.16009938819514646, ""beats"": 0.2060232035123669, ""auditory_erb"": 2.0271616010163543e-18, ""speaker"": 0.10357013203210601, ""rmvpe_cont"": 6.352005950578405e-18, ""ced"": 0.23096866663027354, ""egemaps"": 2.2658131339052534e-18}"
tmhintqi,2,singleton,10,1023,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,0.9119120496167996,0.9003013633114358,0.8980740166374772,21,2393,"{""whisper"": 0.20979863733475534, ""contentvec12"": 0.08955489294751089, ""wavlm"": 0.16009590647265567, ""beats"": 0.20588882593832084, ""auditory_erb"": 4.858580985450667e-18, ""speaker"": 0.10384280320822965, ""rmvpe_cont"": 1.4992483166401116e-18, ""rmvpe_quant"": 0.0, ""ced"": 0.23081893409852766, ""egemaps"": 3.513492665210838e-18}"
tmhintqi,2,inner_search,1,256,ced,0.9917034798559174,0.973368242564414,0.984115472368108,21,2393,"{""ced"": 1.0}"
tmhintqi,2,inner_search,2,257,whisper+ced,0.9428424832572764,0.9250913645659318,0.9311348637457229,21,2393,"{""whisper"": 0.3914023293445479, ""ced"": 0.6085976706554521}"
tmhintqi,2,inner_search,3,265,whisper+beats+ced,0.9240790408709504,0.9080362548904096,0.9098072377388672,21,2393,"{""whisper"": 0.30101888699770507, ""beats"": 0.30982008279395173, ""ced"": 0.3891610302083433}"
tmhintqi,2,inner_search,4,269,whisper+wavlm+beats+ced,0.9163064330737783,0.9008191078675672,0.898676579079437,21,2393,"{""whisper"": 0.23857340032080954, ""wavlm"": 0.22524922426285648, ""beats"": 0.23897238399117768, ""ced"": 0.29720499142515633}"
tmhintqi,2,inner_search,5,301,whisper+wavlm+beats+speaker+ced,0.9134800697407084,0.9017351140474372,0.8994638409432195,21,2393,"{""whisper"": 0.2193061453592266, ""wavlm"": 0.19319823939582395, ""beats"": 0.21583572572196597, ""speaker"": 0.11982737779354605, ""ced"": 0.25183251172943744}"
tmhintqi,2,inner_search,6,303,whisper+contentvec12+wavlm+beats+speaker+ced,0.9119120324166498,0.9002905558567182,0.898071112799352,21,2393,"{""whisper"": 0.20972892582053787, ""contentvec12"": 0.0896079229091331, ""wavlm"": 0.16011489015040314, ""beats"": 0.20600443538520288, ""speaker"": 0.10358271839601699, ""ced"": 0.23096110733870612}"
tmhintqi,2,inner_search,7,367,whisper+contentvec12+wavlm+beats+speaker+rmvpe_cont+ced,0.9119120347633266,0.9002876285025098,0.8980680669181667,21,2393,"{""whisper"": 0.20970926619600033, ""contentvec12"": 0.08962996166997497, ""wavlm"": 0.16018951089998726, ""beats"": 0.20600873368248962, ""speaker"": 0.10350037657436957, ""rmvpe_cont"": 2.3147716382565514e-17, ""ced"": 0.2309621509771781}"
tmhintqi,2,inner_search,8,447,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_quant+ced,0.91191203620433,0.9002864246897265,0.898066868528102,21,2393,"{""whisper"": 0.20971066128949592, ""contentvec12"": 0.0896447042019459, ""wavlm"": 0.1601954515503733, ""beats"": 0.20602441132451446, ""auditory_erb"": 2.307317748320714e-17, ""speaker"": 0.10346397289353591, ""rmvpe_quant"": 0.0, ""ced"": 0.23096079874013448}"
tmhintqi,2,inner_search,9,895,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+ced+egemaps,0.9119120323264944,0.9002900634208912,0.8980711187572638,21,2393,"{""whisper"": 0.20972846129709083, ""contentvec12"": 0.08961014833301627, ""wavlm"": 0.16009938819514646, ""beats"": 0.2060232035123669, ""auditory_erb"": 2.0271616010163543e-18, ""speaker"": 0.10357013203210601, ""rmvpe_cont"": 6.352005950578405e-18, ""ced"": 0.23096866663027354, ""egemaps"": 2.2658131339052534e-18}"
tmhintqi,2,inner_search,10,1023,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,0.9119120496167996,0.9003013633114358,0.8980740166374772,21,2393,"{""whisper"": 0.20979863733475534, ""contentvec12"": 0.08955489294751089, ""wavlm"": 0.16009590647265567, ""beats"": 0.20588882593832084, ""auditory_erb"": 4.858580985450667e-18, ""speaker"": 0.10384280320822965, ""rmvpe_cont"": 1.4992483166401116e-18, ""rmvpe_quant"": 0.0, ""ced"": 0.23081893409852766, ""egemaps"": 3.513492665210838e-18}"
tmhintqi,3,gate,1,4,wavlm,0.98970446771838,0.970257211489047,1.0038065065858877,20,2301,"{""wavlm"": 1.0}"
tmhintqi,3,gate,2,5,whisper+wavlm,0.9424289951325155,0.9281538972736088,0.9553844079619992,20,2301,"{""whisper"": 0.39351334563631946, ""wavlm"": 0.6064866543636805}"
tmhintqi,3,gate,3,13,whisper+wavlm+beats,0.9170232825848484,0.9078930746949492,0.9283249839259644,20,2301,"{""whisper"": 0.27502832231417673, ""wavlm"": 0.4058829966330192, ""beats"": 0.3190886810528041}"
tmhintqi,3,gate,4,269,whisper+wavlm+beats+ced,0.9092008920683232,0.8966964246336961,0.919907649734104,20,2301,"{""whisper"": 0.23177073435197862, ""wavlm"": 0.30725317370953903, ""beats"": 0.22577233346202397, ""ced"": 0.2352037584764583}"
tmhintqi,3,gate,5,271,whisper+contentvec12+wavlm+beats+ced,0.906074819086547,0.8947492744876863,0.918999546063448,20,2301,"{""whisper"": 0.21377896924103162, ""contentvec12"": 0.12293375247302095, ""wavlm"": 0.2552556841851595, ""beats"": 0.2121039152305522, ""ced"": 0.19592767887023574}"
tmhintqi,3,gate,6,303,whisper+contentvec12+wavlm+beats+speaker+ced,0.9051039977215536,0.8961952413913715,0.91588706970639,20,2301,"{""whisper"": 0.2046067452819957, ""contentvec12"": 0.10936811782493477, ""wavlm"": 0.2391069800635809, ""beats"": 0.19983438699560135, ""speaker"": 0.07418634819190825, ""ced"": 0.17289742164197905}"
tmhintqi,3,gate,7,815,whisper+contentvec12+wavlm+beats+speaker+ced+egemaps,0.9050754979270964,0.8962135280902646,0.916117415321386,20,2301,"{""whisper"": 0.204552919953342, ""contentvec12"": 0.10700618144272636, ""wavlm"": 0.23734813857014642, ""beats"": 0.19933987345789678, ""speaker"": 0.0696398355070053, ""ced"": 0.1681395521295302, ""egemaps"": 0.013973498939353061}"
tmhintqi,3,gate,8,831,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+ced+egemaps,0.9050754930534656,0.896213893902007,0.9161171823249142,20,2301,"{""whisper"": 0.20459733507115993, ""contentvec12"": 0.1070288903684292, ""wavlm"": 0.2373231978867433, ""beats"": 0.1992764559462395, ""auditory_erb"": 3.624242223064337e-18, ""speaker"": 0.0696526244560115, ""ced"": 0.16816191344725434, ""egemaps"": 0.013959582824162028}"
tmhintqi,3,gate,9,895,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+ced+egemaps,0.9050754925512178,0.8962138049348127,0.9161170738088434,20,2301,"{""whisper"": 0.20458829898910108, ""contentvec12"": 0.10703185803391681, ""wavlm"": 0.23732099730273457, ""beats"": 0.1992795571831148, ""auditory_erb"": 2.7676801551534264e-18, ""speaker"": 0.06965505130378409, ""rmvpe_cont"": 1.8706722640111223e-18, ""ced"": 0.16816924744338557, ""egemaps"": 0.013954989743963012}"
tmhintqi,3,gate,10,1023,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,0.9050754921268276,0.8962138984087953,0.9161169152196914,20,2301,"{""whisper"": 0.20458916484170026, ""contentvec12"": 0.107034318955123, ""wavlm"": 0.23731613376537794, ""beats"": 0.1992772982481182, ""auditory_erb"": 1.628648481200967e-17, ""speaker"": 0.06965772690568803, ""rmvpe_cont"": 0.0, ""rmvpe_quant"": 0.0, ""ced"": 0.1681736347734658, ""egemaps"": 0.013951722510526862}"
tmhintqi,3,shapley,1,4,wavlm,0.98970446771838,0.970257211489047,1.0038065065858877,20,2301,"{""wavlm"": 1.0}"
tmhintqi,3,shapley,2,260,wavlm+ced,0.9386095864337238,0.9181997222304862,0.9494350284678754,20,2301,"{""wavlm"": 0.5116886102221043, ""ced"": 0.48831138977789573}"
tmhintqi,3,shapley,3,268,wavlm+beats+ced,0.9224363263377356,0.905518037747886,0.9321121617936552,20,2301,"{""wavlm"": 0.4097824133648754, ""beats"": 0.28122890660572614, ""ced"": 0.3089886800293984}"
tmhintqi,3,shapley,4,269,whisper+wavlm+beats+ced,0.9092008920683232,0.8966964246336961,0.919907649734104,20,2301,"{""whisper"": 0.23177073435197862, ""wavlm"": 0.30725317370953903, ""beats"": 0.22577233346202397, ""ced"": 0.2352037584764583}"
tmhintqi,3,shapley,5,271,whisper+contentvec12+wavlm+beats+ced,0.906074819086547,0.8947492744876863,0.918999546063448,20,2301,"{""whisper"": 0.21377896924103162, ""contentvec12"": 0.12293375247302095, ""wavlm"": 0.2552556841851595, ""beats"": 0.2121039152305522, ""ced"": 0.19592767887023574}"
tmhintqi,3,shapley,6,303,whisper+contentvec12+wavlm+beats+speaker+ced,0.9051039977215536,0.8961952413913715,0.91588706970639,20,2301,"{""whisper"": 0.2046067452819957, ""contentvec12"": 0.10936811782493477, ""wavlm"": 0.2391069800635809, ""beats"": 0.19983438699560135, ""speaker"": 0.07418634819190825, ""ced"": 0.17289742164197905}"
