dataset,method,k,system_id,system_mse,mos,prediction,n_items
bvcc,gate,5,sys16354,0.21193749850887306,3.913793103448276,3.82586893890054,29
bvcc,gate,5,sys174d8,0.3088092391854194,2.13671875,2.575804214914853,32
bvcc,gate,5,sys19236,0.19371929647883182,2.11328125,2.1548969142087073,32
bvcc,gate,5,sys1aa9c,0.2880599830194153,2.5984848484848486,2.185159745072631,33
bvcc,gate,5,sys1e139,0.11690781015182779,2.007575757575758,2.0776601224642386,33
bvcc,gate,5,sys1f57a,0.3462563709092477,3.345833333333333,3.067872741079193,30
bvcc,gate,5,sys20bf9,0.28762547786106435,2.5,2.835967081146723,34
bvcc,gate,5,sys20cc3,0.2990090024610945,3.087121212121212,3.086094786755643,33
bvcc,gate,5,sys22c53,0.33374411565540385,3.860294117647059,3.472010919726313,34
bvcc,gate,5,sys24ed5,0.19574431400958528,2.475806451612903,2.425493411654425,31
bvcc,gate,5,sys25816,0.14425641099707256,2.4375,2.324594775310827,32
bvcc,gate,5,sys263f8,0.21230164019654932,3.4663461538461537,3.287913689993685,26
bvcc,gate,5,sys2863f,0.4314908130468167,1.356060606060606,1.921350678808023,33
bvcc,gate,5,sys29328,0.26522613239137577,1.9,2.208063926518494,15
bvcc,gate,5,sys294a1,0.21907055232683395,3.0948275862068964,2.919748664385477,29
bvcc,gate,5,sys29eee,0.1424847943164105,2.7723214285714284,2.8500831082005225,28
bvcc,gate,5,sys2a001,0.10794312398353242,4.165441176470588,4.044663766537953,34
bvcc,gate,5,sys2a489,0.29199719486533876,2.4094827586206895,2.719688738975027,29
bvcc,gate,5,sys2c90c,0.20308607328654915,3.6136363636363638,3.6128197169988834,33
bvcc,gate,5,sys2e1cb,0.14555435407648606,3.1336206896551726,3.0076560997023782,29
bvcc,gate,5,sys2fed0,0.21437069326515534,2.287037037037037,2.556742239646732,27
bvcc,gate,5,sys330d3,0.15450928744962128,3.5288461538461537,3.318311475453794,26
bvcc,gate,5,sys35c79,0.16531096713808768,2.2416666666666667,2.442356943828081,15
bvcc,gate,5,sys36d71,0.14896327693353048,2.0,2.1611776572518515,18
bvcc,gate,5,sys372fe,0.12538886908649804,2.3916666666666666,2.4250738816456265,15
bvcc,gate,5,sys38b22,0.18462718619585008,1.725,1.8307830140598873,30
bvcc,gate,5,sys38cf4,0.2323035551645301,4.235,3.875874131316242,25
bvcc,gate,5,sys3ad60,0.322578253053054,3.2196969696969697,2.8455335035016485,33
bvcc,gate,5,sys3afc3,0.2595598119319457,2.975,2.9070568775773515,30
bvcc,gate,5,sys3d8c6,0.22224355976753737,3.782258064516129,3.518754622386865,31
bvcc,gate,5,sys3dea1,0.2993917956718486,2.721774193548387,3.002763635006465,31
bvcc,gate,5,sys4017d,0.2517563609565198,3.691666666666667,3.839248736095453,15
bvcc,gate,5,sys41cc1,0.14714184628933588,3.565,3.6618631679863336,25
bvcc,gate,5,sys41dae,0.2895722503736719,2.6120689655172415,2.9414741170823033,29
bvcc,gate,5,sys429a3,0.33067338842230376,2.2901785714285716,2.6958977390356567,28
bvcc,gate,5,sys433f2,0.1994682258436975,3.6180555555555554,3.3793776987143556,36
bvcc,gate,5,sys44ea4,0.3432703295139807,3.754166666666667,3.845910260413706,30
bvcc,gate,5,sys46d3a,0.43476589725528847,1.9153225806451613,2.3768132613977264,31
bvcc,gate,5,sys4800c,0.6273473305448944,2.00390625,2.733936820240603,32
bvcc,gate,5,sys48dd4,0.24364599392403438,3.782142857142857,3.562421454657606,35
bvcc,gate,5,sys4a150,0.20624508983030623,2.703125,2.4803733986970125,32
bvcc,gate,5,sys4bafa,0.6576890249450602,2.408333333333333,3.104007680726126,30
bvcc,gate,5,sys4d7b2,0.47153563067435755,2.9482758620689653,3.349349279264796,29
bvcc,gate,5,sys50848,0.1441958916313184,2.671875,2.418702980516249,16
bvcc,gate,5,sys50bf1,0.12751234417224855,1.5808823529411764,1.7351865733496579,17
bvcc,gate,5,sys50c71,0.1690650294047026,2.1296296296296298,2.1357242421933433,27
bvcc,gate,5,sys520c6,0.17735202240815492,2.15,2.188083214119117,15
bvcc,gate,5,sys53b38,0.14895215938235443,3.399193548387097,3.425332391495038,31
bvcc,gate,5,sys541b0,0.18345708639308025,3.282258064516129,3.1953145602289847,31
bvcc,gate,5,sys56eb0,0.30920726426537515,2.713709677419355,2.729352622722562,31
bvcc,gate,5,sys5e858,0.2470129847248945,2.492424242424242,2.8772066733076866,33
bvcc,gate,5,sys6171c,0.16060907258396964,3.4166666666666665,3.4823915199135613,30
bvcc,gate,5,sys61e08,0.20584597122139617,2.8958333333333335,3.0657757591553345,30
bvcc,gate,5,sys64e2f,0.28492934705611633,4.023148148148148,3.665277306678453,27
bvcc,gate,5,sys64f06,0.17341162206495037,1.8598484848484849,1.7328355031381761,33
bvcc,gate,5,sys6629f,0.5360744157524919,1.7824074074074074,2.415194101025105,27
bvcc,gate,5,sys66a81,0.11117787028617798,1.2386363636363635,1.1650583957030103,33
bvcc,gate,5,sys67c8d,0.23788214076378864,2.683333333333333,2.3477160789790172,15
bvcc,gate,5,sys694ff,0.2180343323841573,2.970833333333333,3.015450233016912,30
bvcc,gate,5,sys6b49f,0.2531275920397105,2.4655172413793105,2.6632326383372105,29
bvcc,gate,5,sys6b9da,0.20638232193232792,2.7416666666666667,2.6779494446372913,30
bvcc,gate,5,sys72611,0.29263812480831153,3.185344827586207,3.1208071049029886,29
bvcc,gate,5,sys732a7,0.21929014336526453,2.61,2.6086030565000247,25
bvcc,gate,5,sys768cf,0.2075562244427523,3.441666666666667,3.4306151341107185,30
bvcc,gate,5,sys77fa4,0.14481088207980583,3.217741935483871,3.135254066861718,31
bvcc,gate,5,sys798be,0.18407560917348534,3.657258064516129,3.4613814731492076,31
bvcc,gate,5,sys7ab3c,0.22147651269898994,3.2875,3.191081136384749,30
bvcc,gate,5,sys7b162,0.3267286690568625,2.681451612903226,2.939502525677185,31
bvcc,gate,5,sys7c5fb,0.19336279837989284,1.971774193548387,1.9169216155361688,31
bvcc,gate,5,sys8094c,0.30122563617549125,3.899193548387097,3.4798291668788264,31
bvcc,gate,5,sys83090,0.3183171523159412,3.5546875,3.1872394716573886,32
bvcc,gate,5,sys85ef8,0.2696185593268209,3.7,3.6343494606435267,30
bvcc,gate,5,sys8a5ed,0.17355210072173413,3.390625,3.204014767529504,24
bvcc,gate,5,sys8bd6f,0.16277864972142447,2.865740740740741,2.848022600476029,27
bvcc,gate,5,sys8d3e2,0.08894008727494712,2.1979166666666665,2.1679973106093064,12
bvcc,gate,5,sys8e2bf,0.19528837433898752,2.6484375,2.6987871432652044,16
bvcc,gate,5,sys8e5c5,0.17431647288097699,1.8984375,1.8117407035291777,32
bvcc,gate,5,sys8f532,0.14729251613146907,4.444444444444445,4.3208833106641364,27
bvcc,gate,5,sys92962,0.19539358553122296,3.8660714285714284,3.6004901718707982,14
bvcc,gate,5,sys9349e,0.18509485123510397,3.806451612903226,3.5133677690725684,31
bvcc,gate,5,sys9368a,0.24741323775375454,2.596774193548387,2.757690958560656,31
bvcc,gate,5,sys945b8,0.14233257672824726,4.209821428571429,4.0116682974317195,28
bvcc,gate,5,sys94e9f,0.13297767270174748,2.4615384615384617,2.5780832257402286,26
bvcc,gate,5,sys9525c,0.22662378350756524,1.4375,1.7524455475689127,14
bvcc,gate,5,sys9d400,0.17600132481512357,3.9741379310344827,3.714751563482748,29
bvcc,gate,5,sys9dbae,0.21568232406429289,2.625,2.4012248854763607,16
bvcc,gate,5,sys9dd03,0.1406389350380268,4.396551724137931,4.44532130920721,29
bvcc,gate,5,sys9dead,0.35455039055091225,3.3068181818181817,3.401581448772124,33
bvcc,gate,5,sys9decb,0.5064479496311413,2.4903846153846154,2.9769957380124987,26
bvcc,gate,5,sys9e6de,0.15364993509066918,2.3275862068965516,2.355585742997215,29
bvcc,gate,5,sys9efbf,0.20581551062213696,2.7455357142857144,2.66757081540691,28
bvcc,gate,5,sys9f4e0,0.2645857054860368,2.717741935483871,2.804287250951307,31
bvcc,gate,5,sys9f572,0.34239477261768236,1.5133928571428572,2.0076205294330385,28
bvcc,gate,5,sysa0656,0.48596387199639185,1.8984375,2.474452057337649,16
bvcc,gate,5,sysa1387,0.1801103728727245,4.452586206896552,4.174105293989431,29
bvcc,gate,5,sysa22c0,0.26647142537831076,3.7731481481481484,3.4825736708479207,27
bvcc,gate,5,sysa360c,0.17440415891775132,3.125,3.429831155985648,31
bvcc,gate,5,sysa6294,0.36325102179057805,3.7375,3.2354481486713196,30
bvcc,gate,5,sysa7a61,0.12648316845937166,1.842741935483871,1.935034492888455,31
bvcc,gate,5,sysaa5ec,0.1693597368785745,3.4663461538461537,3.2805623090557883,26
bvcc,gate,5,sysac5dd,0.2508164502306644,3.7451923076923075,3.451098177577819,26
bvcc,gate,5,sysacdf0,0.23981893069746274,2.9154411764705883,2.9170080654791635,34
bvcc,gate,5,sysb084d,0.23726687907088326,3.051470588235294,2.8960013939879783,34
bvcc,gate,5,sysb1913,0.23810994954768708,2.3392857142857144,2.410558646006618,28
bvcc,gate,5,sysb25c6,0.1969128537454711,4.258333333333334,3.9438851106761184,30
