dataset,method,k,feature,selected_outer_folds,n_outer_folds,selection_frequency
bvcc,gate,5,ced,5,5,1.0
bvcc,gate,5,egemaps,0,5,0.0
bvcc,inner_search,1,whisper,0,5,0.0
bvcc,inner_search,1,contentvec12,0,5,0.0
bvcc,inner_search,1,wavlm,0,5,0.0
bvcc,inner_search,1,beats,0,5,0.0
bvcc,inner_search,1,auditory_erb,0,5,0.0
bvcc,inner_search,1,speaker,0,5,0.0
bvcc,inner_search,1,rmvpe_cont,0,5,0.0
bvcc,inner_search,1,rmvpe_quant,0,5,0.0
bvcc,inner_search,1,ced,5,5,1.0
bvcc,inner_search,1,egemaps,0,5,0.0
bvcc,inner_search,2,whisper,2,5,0.4
bvcc,inner_search,2,contentvec12,0,5,0.0
bvcc,inner_search,2,wavlm,3,5,0.6
bvcc,inner_search,2,beats,0,5,0.0
bvcc,inner_search,2,auditory_erb,0,5,0.0
bvcc,inner_search,2,speaker,0,5,0.0
bvcc,inner_search,2,rmvpe_cont,0,5,0.0
bvcc,inner_search,2,rmvpe_quant,0,5,0.0
bvcc,inner_search,2,ced,5,5,1.0
bvcc,inner_search,2,egemaps,0,5,0.0
bvcc,inner_search,3,whisper,5,5,1.0
bvcc,inner_search,3,contentvec12,0,5,0.0
bvcc,inner_search,3,wavlm,4,5,0.8
bvcc,inner_search,3,beats,1,5,0.2
bvcc,inner_search,3,auditory_erb,0,5,0.0
bvcc,inner_search,3,speaker,0,5,0.0
bvcc,inner_search,3,rmvpe_cont,0,5,0.0
bvcc,inner_search,3,rmvpe_quant,0,5,0.0
bvcc,inner_search,3,ced,5,5,1.0
bvcc,inner_search,3,egemaps,0,5,0.0
bvcc,inner_search,5,whisper,5,5,1.0
bvcc,inner_search,5,contentvec12,1,5,0.2
bvcc,inner_search,5,wavlm,5,5,1.0
bvcc,inner_search,5,beats,5,5,1.0
bvcc,inner_search,5,auditory_erb,0,5,0.0
bvcc,inner_search,5,speaker,4,5,0.8
bvcc,inner_search,5,rmvpe_cont,0,5,0.0
bvcc,inner_search,5,rmvpe_quant,0,5,0.0
bvcc,inner_search,5,ced,5,5,1.0
bvcc,inner_search,5,egemaps,0,5,0.0
bvcc,shapley,1,whisper,0,5,0.0
bvcc,shapley,1,contentvec12,0,5,0.0
bvcc,shapley,1,wavlm,0,5,0.0
bvcc,shapley,1,beats,0,5,0.0
bvcc,shapley,1,auditory_erb,0,5,0.0
bvcc,shapley,1,speaker,0,5,0.0
bvcc,shapley,1,rmvpe_cont,0,5,0.0
bvcc,shapley,1,rmvpe_quant,0,5,0.0
bvcc,shapley,1,ced,5,5,1.0
bvcc,shapley,1,egemaps,0,5,0.0
bvcc,shapley,2,whisper,1,5,0.2
bvcc,shapley,2,contentvec12,0,5,0.0
bvcc,shapley,2,wavlm,1,5,0.2
bvcc,shapley,2,beats,3,5,0.6
bvcc,shapley,2,auditory_erb,0,5,0.0
bvcc,shapley,2,speaker,0,5,0.0
bvcc,shapley,2,rmvpe_cont,0,5,0.0
bvcc,shapley,2,rmvpe_quant,0,5,0.0
bvcc,shapley,2,ced,5,5,1.0
bvcc,shapley,2,egemaps,0,5,0.0
bvcc,shapley,3,whisper,3,5,0.6
bvcc,shapley,3,contentvec12,0,5,0.0
bvcc,shapley,3,wavlm,3,5,0.6
bvcc,shapley,3,beats,4,5,0.8
bvcc,shapley,3,auditory_erb,0,5,0.0
bvcc,shapley,3,speaker,0,5,0.0
bvcc,shapley,3,rmvpe_cont,0,5,0.0
bvcc,shapley,3,rmvpe_quant,0,5,0.0
bvcc,shapley,3,ced,5,5,1.0
bvcc,shapley,3,egemaps,0,5,0.0
bvcc,shapley,5,whisper,5,5,1.0
bvcc,shapley,5,contentvec12,0,5,0.0
bvcc,shapley,5,wavlm,5,5,1.0
bvcc,shapley,5,beats,5,5,1.0
bvcc,shapley,5,auditory_erb,0,5,0.0
bvcc,shapley,5,speaker,5,5,1.0
bvcc,shapley,5,rmvpe_cont,0,5,0.0
bvcc,shapley,5,rmvpe_quant,0,5,0.0
bvcc,shapley,5,ced,5,5,1.0
bvcc,shapley,5,egemaps,0,5,0.0
bvcc,singleton,1,whisper,0,5,0.0
bvcc,singleton,1,contentvec12,0,5,0.0
bvcc,singleton,1,wavlm,0,5,0.0
bvcc,singleton,1,beats,0,5,0.0
