dataset,method,k,n_systems,n_items,utterance_mse,equal_system_mse,system_srcc
bvcc,inner_search,7,175,4974,0.24981587866102833,0.246980731888107,0.938724078384998
bvcc,inner_search,8,175,4974,0.24981573164791582,0.24698055805332061,0.938724078384998
bvcc,inner_search,9,175,4974,0.2498158781603749,0.24698071616242356,0.938724078384998
bvcc,inner_search,10,175,4974,0.24981577139941935,0.24698059682027837,0.938724078384998
bvcc,shapley,1,175,4974,0.3395465481855425,0.3337844766854996,0.918004136826639
bvcc,shapley,2,175,4974,0.29571521378257676,0.2918112180570653,0.9297898840998245
bvcc,shapley,3,175,4974,0.26588756623657256,0.26341951980918704,0.9357448940500549
bvcc,shapley,4,175,4974,0.2540927492779674,0.2514511171651935,0.9396354109850145
bvcc,shapley,5,175,4974,0.25035559218716863,0.24757151489445944,0.9374533627817809
bvcc,shapley,6,175,4974,0.24981576036120665,0.24698064522752555,0.938724078384998
bvcc,shapley,7,175,4974,0.24981594180761,0.2469807391781436,0.938724078384998
bvcc,shapley,8,175,4974,0.24981574236409482,0.24698056677694874,0.938724078384998
bvcc,shapley,9,175,4974,0.2498157095946521,0.24698054643332634,0.938724078384998
bvcc,shapley,10,175,4974,0.24981577139941935,0.24698059682027837,0.938724078384998
bvcc,singleton,1,175,4974,0.3395465481855425,0.3337844766854996,0.918004136826639
bvcc,singleton,2,175,4974,0.2901204758123584,0.2863647492297808,0.9344864937522436
bvcc,singleton,3,175,4974,0.2737099365549603,0.26995690903352454,0.9298839282501948
bvcc,singleton,4,175,4974,0.2579231800141576,0.2550309667299442,0.9378127457849817
bvcc,singleton,5,175,4974,0.25035559218716863,0.24757151489445944,0.9374533627817809
bvcc,singleton,6,175,4974,0.24981576036120665,0.24698064522752555,0.938724078384998
bvcc,singleton,7,175,4974,0.24981594180761,0.2469807391781436,0.938724078384998
bvcc,singleton,8,175,4974,0.24981574236409482,0.24698056677694874,0.938724078384998
bvcc,singleton,9,175,4974,0.2498157095946521,0.24698054643332634,0.938724078384998
bvcc,singleton,10,175,4974,0.24981577139941935,0.24698059682027837,0.938724078384998
singmos,gate,1,31,2000,0.4759053625501006,0.47821572123295536,0.7286290322580645
singmos,gate,2,31,2000,0.41663755849894724,0.4178967112170672,0.8508064516129032
singmos,gate,3,31,2000,0.3860107546499936,0.38691393875091745,0.8536290322580645
singmos,gate,4,31,2000,0.37890514794747115,0.379985702096262,0.8629032258064516
singmos,gate,5,31,2000,0.3734161119973403,0.3743781173803328,0.8786290322580645
singmos,gate,6,31,2000,0.37537680832855863,0.3763117864913525,0.8814516129032259
singmos,gate,7,31,2000,0.37335558090666415,0.37420304287174194,0.8770161290322582
singmos,gate,8,31,2000,0.37358506523130164,0.3744207218412337,0.8770161290322582
singmos,gate,9,31,2000,0.3735845500178934,0.3744203201510199,0.8770161290322582
singmos,gate,10,31,2000,0.3735846654377961,0.37442043093712013,0.8770161290322582
singmos,inner_search,1,31,2000,0.4657974353976782,0.4688520504175434,0.828225806451613
singmos,inner_search,2,31,2000,0.40325820808339197,0.4041666745291855,0.8838709677419355
singmos,inner_search,3,31,2000,0.39032068633066885,0.3915174342307208,0.8818548387096775
singmos,inner_search,4,31,2000,0.37796439502372475,0.37913948282667864,0.8681451612903227
singmos,inner_search,5,31,2000,0.37273680965486267,0.3737868455836103,0.8741935483870968
singmos,inner_search,6,31,2000,0.37401145191642465,0.3749603465236619,0.8737903225806453
singmos,inner_search,7,31,2000,0.37335558090666415,0.37420304287174194,0.8770161290322582
singmos,inner_search,8,31,2000,0.37358506523130164,0.3744207218412337,0.8770161290322582
singmos,inner_search,9,31,2000,0.37358566036398033,0.3744213988021685,0.8770161290322582
singmos,inner_search,10,31,2000,0.3735846654377961,0.37442043093712013,0.8770161290322582
singmos,shapley,1,31,2000,0.46620479666841236,0.46919565470843033,0.8161290322580647
singmos,shapley,2,31,2000,0.40325820808339197,0.4041666745291855,0.8838709677419355
singmos,shapley,3,31,2000,0.3860107546499936,0.38691393875091745,0.8536290322580645
