dataset,spec,feature,median_weight,ci95_low,ci95_high,probability_zero
tmhintqi,core_plus_ced,rmvpe_quant,1.9359996800681102e-18,0.0,0.015359023055540526,0.92
tmhintqi,core_plus_ced,speaker,0.2219235836613208,0.017155419846446272,0.4252444129201106,0.01
tmhintqi,full,auditory_erb,0.0,0.0,4.118486477182813e-17,1.0
tmhintqi,full,beats,0.16657438218022752,0.012130327684577513,0.25786140766209675,0.02
tmhintqi,full,ced,0.24424842007221773,0.10964402491304691,0.4944331208901627,0.0
tmhintqi,full,contentvec12,0.11404197319015973,0.015860027092388606,0.19390432543747244,0.02
tmhintqi,full,egemaps,0.02228200148758134,0.0,0.09964198516366418,0.29
tmhintqi,full,rmvpe_cont,0.0,0.0,3.289701928334816e-17,1.0
tmhintqi,full,rmvpe_quant,0.0,0.0,0.0004549607204077103,0.97
tmhintqi,full,speaker,0.07566570800713131,0.0,0.25294737369878695,0.18
tmhintqi,full,wavlm,0.16760724326356927,0.0,0.38313259464409183,0.07
tmhintqi,full,whisper,0.16633076298267388,0.0603581735394792,0.28594605423882524,0.01
