dataset,feature,relative_mse_tolerance,optimal_weight,optimal_oof_mse,mse_threshold,weight_min,loss_min,success_min,message_min,weight_max,loss_max,success_max,message_max,range_width
BRSpeechMOS,ContentVec,0.01,0.1532288829605524,1.0100058839986732,1.02010594283866,0.0561987620910047,1.0201059428386612,True,Optimization terminated successfully,0.2502590905271323,1.0201059428386792,True,Optimization terminated successfully,0.1940603284361276
BRSpeechMOS,WavLM,0.01,0.3020849624986584,1.0100058839986732,1.02010594283866,0.195804383915269,1.0201059428387131,True,Optimization terminated successfully,0.4083655029095784,1.0201059428386827,True,Optimization terminated successfully,0.2125611189943093
BRSpeechMOS,BEATs,0.01,0.0,1.0100058839986732,1.02010594283866,0.0,1.0100058839986732,True,Optimization terminated successfully,0.0176531496062563,1.0201059428387196,True,Optimization terminated successfully,0.0176531496062563
BRSpeechMOS,ERB,0.01,0.0,1.0100058839986732,1.02010594283866,0.0,1.0100058839986732,True,Optimization terminated successfully,0.0084937896588584,1.0201059428386792,True,Optimization terminated successfully,0.0084937896588584
BRSpeechMOS,Speaker,0.01,0.0,1.0100058839986732,1.02010594283866,0.0,1.0100058839986732,True,Optimization terminated successfully,0.1041127215757854,1.0201059428390566,True,Optimization terminated successfully,0.1041127215757854
BRSpeechMOS,RMVPE-c,0.01,1.0752041679566011e-16,1.0100058839986732,1.02010594283866,1.0752041679566011e-16,1.0100058839986732,True,Optimization terminated successfully,0.0585164303330638,1.0201059428386663,True,Optimization terminated successfully,0.0585164303330637
BRSpeechMOS,RMVPE-q,0.01,2.4389447492650103e-16,1.0100058839986732,1.02010594283866,2.4389447492650103e-16,1.0100058839986732,True,Optimization terminated successfully,0.0156658370855695,1.02010594283876,True,Optimization terminated successfully,0.0156658370855692
BRSpeechMOS,CED,0.01,1.67055960525666e-16,1.0100058839986732,1.02010594283866,1.67055960525666e-16,1.0100058839986732,True,Optimization terminated successfully,0.0882305251588468,1.0201059428386632,True,Optimization terminated successfully,0.0882305251588466
BRSpeechMOS,eGeMAPS,0.01,0.5148855999296984,1.0100058839986732,1.02010594283866,0.377102811719999,1.0201059428387025,True,Optimization terminated successfully,0.6266167477061011,1.0201059428386612,True,Optimization terminated successfully,0.249513935986102
BVCC,Whisper,0.001,0.2494835630140979,0.2486197402240137,0.2488683599642377,0.2136755070459899,0.2488683599642425,True,Optimization terminated successfully,0.2852913185173309,0.2488683599642386,True,Optimization terminated successfully,0.071615811471341
BVCC,ContentVec,0.001,0.0613866786806005,0.2486197402240137,0.2488683599642377,0.0227969957500009,0.2488683599642379,True,Optimization terminated successfully,0.0999763320206721,0.2488683599642416,True,Optimization terminated successfully,0.0771793362706712
BVCC,WavLM,0.001,0.1672053955558224,0.2486197402240137,0.2488683599642377,0.1244029239953983,0.2488683599642384,True,Optimization terminated successfully,0.2100062514501385,0.2488683599642399,True,Optimization terminated successfully,0.0856033274547402
BVCC,BEATs,0.001,0.2002818567803441,0.2486197402240137,0.2488683599642377,0.1608782311414613,0.2488683599642382,True,Optimization terminated successfully,0.2396861357076945,0.2488683599642409,True,Optimization terminated successfully,0.0788079045662331
BVCC,ERB,0.001,9.507640430464105e-18,0.2486197402240137,0.2488683599642377,9.507640430464105e-18,0.2486197402240137,True,Optimization terminated successfully,0.0027503761154085,0.2488683599642686,True,Optimization terminated successfully,0.0027503761154084
BVCC,Speaker,0.001,0.0994409088603681,0.2486197402240137,0.2488683599642377,0.0591341421760434,0.2488683599642378,True,Optimization terminated successfully,0.1397482258676762,0.2488683599642401,True,Optimization terminated successfully,0.0806140836916328
BVCC,RMVPE-c,0.001,0.0,0.2486197402240137,0.2488683599642377,0.0,0.2486197402240137,True,Optimization terminated successfully,0.0033373070038033,0.2488683599642392,True,Optimization terminated successfully,0.0033373070038033
BVCC,RMVPE-q,0.001,1.8211870110457504e-18,0.2486197402240137,0.2488683599642377,1.8211870110457504e-18,0.2486197402240137,True,Optimization terminated successfully,0.0030185125784411,0.2488683599642742,True,Optimization terminated successfully,0.0030185125784411
BVCC,CED,0.001,0.2222015971087669,0.2486197402240137,0.2488683599642377,0.178291756484818,0.2488683599642561,True,Optimization terminated successfully,0.2661121798418158,0.2488683599642397,True,Optimization terminated successfully,0.0878204233569977
BVCC,eGeMAPS,0.001,0.0,0.2486197402240137,0.2488683599642377,0.0,0.2486197402240137,True,Optimization terminated successfully,0.0074792432590125,0.2488683599642502,True,Optimization terminated successfully,0.0074792432590125
BVCC,Whisper,0.005,0.2494835630140979,0.2486197402240137,0.2498628389251337,0.1694145014464153,0.2498628389251409,True,Optimization terminated successfully,0.3295523241169208,0.2498628389251339,True,Optimization terminated successfully,0.1601378226705055
BVCC,ContentVec,0.005,0.0613866786806005,0.2486197402240137,0.2498628389251337,3.366061151127685e-15,0.2498628389251689,True,Optimization terminated successfully,0.1476757850417263,0.2498628389251347,True,Optimization terminated successfully,0.1476757850417229
BVCC,WavLM,0.005,0.1672053955558224,0.2486197402240137,0.2498628389251337,0.0714971581039248,0.249862838925135,True,Optimization terminated successfully,0.2629120173414812,0.2498628389251342,True,Optimization terminated successfully,0.1914148592375564
BVCC,BEATs,0.005,0.2002818567803441,0.2486197402240137,0.2498628389251337,0.112172267561009,0.2498628389251338,True,Optimization terminated successfully,0.2883920992879341,0.2498628389251338,True,Optimization terminated successfully,0.1762198317269251
BVCC,ERB,0.005,9.507640430464105e-18,0.2486197402240137,0.2498628389251337,9.507640430464105e-18,0.2486197402240137,True,Optimization terminated successfully,0.0132434386831013,0.2498628389251709,True,Optimization terminated successfully,0.0132434386831013
BVCC,Speaker,0.005,0.0994409088603681,0.2486197402240137,0.2498628389251337,0.0093118985067317,0.2498628389251352,True,Optimization terminated successfully,0.1895704695370203,0.2498628389251413,True,Optimization terminated successfully,0.1802585710302885
BVCC,RMVPE-c,0.005,0.0,0.2486197402240137,0.2498628389251337,0.0,0.2486197402240137,True,Optimization terminated successfully,0.0156574351943631,0.2498628389251342,True,Optimization terminated successfully,0.0156574351943631
BVCC,RMVPE-q,0.005,1.8211870110457504e-18,0.2486197402240137,0.2498628389251337,1.8211870110457504e-18,0.2486197402240137,True,Optimization terminated successfully,0.0142336741045321,0.2498628389251466,True,Optimization terminated successfully,0.0142336741045321
BVCC,CED,0.005,0.2222015971087669,0.2486197402240137,0.2498628389251337,0.1240157499726138,0.2498628389251342,True,Optimization terminated successfully,0.3203881863555715,0.2498628389251364,True,Optimization terminated successfully,0.1963724363829577
BVCC,eGeMAPS,0.005,0.0,0.2486197402240137,0.2498628389251337,0.0,0.2486197402240137,True,Optimization terminated successfully,0.0319739750377605,0.2498628389251339,True,Optimization terminated successfully,0.0319739750377605
BVCC,Whisper,0.01,0.2494835630140979,0.2486197402240137,0.2511059376262539,0.1362488724509466,0.2511059376262539,True,Optimization terminated successfully,0.3627179531126145,0.251105937626254,True,Optimization terminated successfully,0.2264690806616679
BVCC,ContentVec,0.01,0.0613866786806005,0.2486197402240137,0.2511059376262539,0.0,0.2511059376262538,True,Optimization terminated successfully,0.1834179093060067,0.2511059376262577,True,Optimization terminated successfully,0.1834179093060067
BVCC,WavLM,0.01,0.1672053955558224,0.2486197402240137,0.2511059376262539,0.0318538427402788,0.2511059376262627,True,Optimization terminated successfully,0.3025553327050761,0.25110593762626,True,Optimization terminated successfully,0.2707014899647972
BVCC,BEATs,0.01,0.2002818567803441,0.2486197402240137,0.2511059376262539,0.0756759454347473,0.2511059376262624,True,Optimization terminated successfully,0.3248884214143844,0.2511059376262698,True,Optimization terminated successfully,0.249212475979637
BVCC,ERB,0.01,9.507640430464105e-18,0.2486197402240137,0.2511059376262539,9.507640430464105e-18,0.2486197402240137,True,Optimization terminated successfully,0.0253990250805817,0.2511059376262673,True,Optimization terminated successfully,0.0253990250805817
BVCC,Speaker,0.01,0.0994409088603681,0.2486197402240137,0.2511059376262539,0.0,0.2511059376262538,True,Optimization terminated successfully,0.2269032419598378,0.251105937626254,True,Optimization terminated successfully,0.2269032419598378
BVCC,RMVPE-c,0.01,0.0,0.2486197402240137,0.2511059376262539,0.0,0.2486197402240137,True,Optimization terminated successfully,0.029311443571594,0.2511059376262959,True,Optimization terminated successfully,0.029311443571594
BVCC,RMVPE-q,0.01,1.8211870110457504e-18,0.2486197402240137,0.2511059376262539,1.8211870110457504e-18,0.2486197402240137,True,Optimization terminated successfully,0.0267653781512987,0.251105937626267,True,Optimization terminated successfully,0.0267653781512987
BVCC,CED,0.01,0.2222015971087669,0.2486197402240137,0.2511059376262539,0.0833456867642422,0.2511059376262539,True,Optimization terminated successfully,0.3610582495639285,0.2511059376262564,True,Optimization terminated successfully,0.2777125627996863
BVCC,eGeMAPS,0.01,0.0,0.2486197402240137,0.2511059376262539,0.0,0.2486197402240137,True,Optimization terminated successfully,0.0559888948187376,0.2511059376262539,True,Optimization terminated successfully,0.0559888948187376
SingMOS,Whisper,0.001,0.1035732959173086,0.3631092654473,0.3634723747127473,0.073280089065574,0.3634723747127502,True,Optimization terminated successfully,0.1338664059962006,0.3634723747127544,True,Optimization terminated successfully,0.0605863169306265
SingMOS,ContentVec,0.001,0.0761355702021473,0.3631092654473,0.3634723747127473,0.0439619251636184,0.363472374712749,True,Optimization terminated successfully,0.1083087597559731,0.3634723747127484,True,Optimization terminated successfully,0.0643468345923547
SingMOS,WavLM,0.001,0.2156314321177964,0.3631092654473,0.3634723747127473,0.1715656470483827,0.3634723747127473,True,Optimization terminated successfully,0.2596977903615009,0.3634723747127476,True,Optimization terminated successfully,0.0881321433131182
SingMOS,BEATs,0.001,0.1525446447712443,0.3631092654473,0.3634723747127473,0.1138703267841005,0.3634723747127503,True,Optimization terminated successfully,0.1912193538671401,0.3634723747127476,True,Optimization terminated successfully,0.0773490270830395
SingMOS,ERB,0.001,4.68219960907476e-18,0.3631092654473,0.3634723747127473,4.68219960907476e-18,0.3631092654473,True,Optimization terminated successfully,0.0176495477351057,0.3634723747127558,True,Optimization terminated successfully,0.0176495477351057
