dataset,outer_fold,method,k,mask,features,inner_mse,outer_utterance_mse,n_outer_systems,n_outer_items,weights_json
bvcc,2,gate,4,269,whisper+wavlm+beats+ced,0.263908973211582,0.2357038204224529,35,995,"{""whisper"": 0.23697131416972955, ""wavlm"": 0.25685617161403496, ""beats"": 0.24051401834182956, ""ced"": 0.265658495874406}"
bvcc,2,gate,5,271,whisper+contentvec12+wavlm+beats+ced,0.2606919760106059,0.2359571810798061,35,995,"{""whisper"": 0.2069132305180621, ""contentvec12"": 0.12563472455079883, ""wavlm"": 0.18987385568033713, ""beats"": 0.22693399956441376, ""ced"": 0.25064418968638824}"
bvcc,2,gate,6,303,whisper+contentvec12+wavlm+beats+speaker+ced,0.2595058516177707,0.2346632392957646,35,995,"{""whisper"": 0.19997436464065835, ""contentvec12"": 0.11013883601667611, ""wavlm"": 0.1772305859632098, ""beats"": 0.2107514550022839, ""speaker"": 0.07975447853773884, ""ced"": 0.22215027983943303}"
bvcc,2,gate,7,431,whisper+contentvec12+wavlm+beats+speaker+rmvpe_quant+ced,0.2595058516178823,0.2346632415399275,35,995,"{""whisper"": 0.19997440625779114, ""contentvec12"": 0.11013880398633043, ""wavlm"": 0.1772308631368428, ""beats"": 0.21075126777510741, ""speaker"": 0.07975452501382853, ""rmvpe_quant"": 5.2218813574619167e-17, ""ced"": 0.22215013383009963}"
bvcc,2,gate,8,447,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_quant+ced,0.259505851617616,0.2346632303288699,35,995,"{""whisper"": 0.19997430299084534, ""contentvec12"": 0.11013874886438808, ""wavlm"": 0.1772301462678259, ""beats"": 0.2107513651092063, ""auditory_erb"": 0.0, ""speaker"": 0.07975473547990024, ""rmvpe_quant"": 0.0, ""ced"": 0.22215070128783423}"
bvcc,2,gate,9,511,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced,0.2595058516176241,0.2346632299194194,35,995,"{""whisper"": 0.1999743342591148, ""contentvec12"": 0.11013875122236905, ""wavlm"": 0.177230178236639, ""beats"": 0.21075132588183124, ""auditory_erb"": 1.0377980018657696e-17, ""speaker"": 0.07975471706997236, ""rmvpe_cont"": 0.0, ""rmvpe_quant"": 0.0, ""ced"": 0.22215069333007365}"
bvcc,2,gate,10,1023,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,0.2595058516176228,0.2346632290838482,35,995,"{""whisper"": 0.19997434481650053, ""contentvec12"": 0.1101387328440442, ""wavlm"": 0.17723018264457446, ""beats"": 0.21075132544342123, ""auditory_erb"": 0.0, ""speaker"": 0.07975470976509232, ""rmvpe_cont"": 0.0, ""rmvpe_quant"": 1.878496069116894e-17, ""ced"": 0.22215070448636728, ""egemaps"": 0.0}"
bvcc,2,shapley,1,256,ced,0.3618437648562879,0.3253231473672867,35,995,"{""ced"": 1.0}"
bvcc,2,shapley,2,264,beats+ced,0.316135426262415,0.2883997474091466,35,995,"{""beats"": 0.4563172847748406, ""ced"": 0.5436827152251594}"
bvcc,2,shapley,3,268,wavlm+beats+ced,0.2775817058365442,0.2582720279239051,35,995,"{""wavlm"": 0.38689509413599354, ""beats"": 0.27699970290715625, ""ced"": 0.33610520295685026}"
bvcc,2,shapley,4,269,whisper+wavlm+beats+ced,0.263908973211582,0.2357038204224529,35,995,"{""whisper"": 0.23697131416972955, ""wavlm"": 0.25685617161403496, ""beats"": 0.24051401834182956, ""ced"": 0.265658495874406}"
bvcc,2,shapley,5,271,whisper+contentvec12+wavlm+beats+ced,0.2606919760106059,0.2359571810798061,35,995,"{""whisper"": 0.2069132305180621, ""contentvec12"": 0.12563472455079883, ""wavlm"": 0.18987385568033713, ""beats"": 0.22693399956441376, ""ced"": 0.25064418968638824}"
bvcc,2,shapley,6,303,whisper+contentvec12+wavlm+beats+speaker+ced,0.2595058516177707,0.2346632392957646,35,995,"{""whisper"": 0.19997436464065835, ""contentvec12"": 0.11013883601667611, ""wavlm"": 0.1772305859632098, ""beats"": 0.2107514550022839, ""speaker"": 0.07975447853773884, ""ced"": 0.22215027983943303}"
bvcc,2,shapley,7,815,whisper+contentvec12+wavlm+beats+speaker+ced+egemaps,0.259505851617923,0.2346632341929674,35,995,"{""whisper"": 0.199974454247958, ""contentvec12"": 0.11013858341601243, ""wavlm"": 0.1772308971353234, ""beats"": 0.2107507570031748, ""speaker"": 0.07975517594138906, ""ced"": 0.22215013225614239, ""egemaps"": 1.0630131139143464e-17}"
bvcc,2,shapley,8,831,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+ced+egemaps,0.2595058516177142,0.2346632365163577,35,995,"{""whisper"": 0.19997427509469642, ""contentvec12"": 0.11013874988189283, ""wavlm"": 0.1772304599705308, ""beats"": 0.21075096979880847, ""auditory_erb"": 0.0, ""speaker"": 0.07975508941455885, ""ced"": 0.22215045583951273, ""egemaps"": 5.026457272996845e-18}"
bvcc,2,shapley,9,895,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+ced+egemaps,0.2595058516176283,0.234663230407453,35,995,"{""whisper"": 0.19997433575528897, ""contentvec12"": 0.110138754126906, ""wavlm"": 0.1772302027045634, ""beats"": 0.21075132304734398, ""auditory_erb"": 0.0, ""speaker"": 0.07975471310731962, ""rmvpe_cont"": 0.0, ""ced"": 0.22215067125857807, ""egemaps"": 1.667101460900597e-18}"
bvcc,2,shapley,10,1023,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,0.2595058516176228,0.2346632290838482,35,995,"{""whisper"": 0.19997434481650053, ""contentvec12"": 0.1101387328440442, ""wavlm"": 0.17723018264457446, ""beats"": 0.21075132544342123, ""auditory_erb"": 0.0, ""speaker"": 0.07975470976509232, ""rmvpe_cont"": 0.0, ""rmvpe_quant"": 1.878496069116894e-17, ""ced"": 0.22215070448636728, ""egemaps"": 0.0}"
bvcc,2,singleton,1,256,ced,0.3618437648562879,0.3253231473672867,35,995,"{""ced"": 1.0}"
bvcc,2,singleton,2,260,wavlm+ced,0.2918184046629249,0.2677458379388623,35,995,"{""wavlm"": 0.47938007874254046, ""ced"": 0.5206199212574596}"
bvcc,2,singleton,3,268,wavlm+beats+ced,0.2775817058365442,0.2582720279239051,35,995,"{""wavlm"": 0.38689509413599354, ""beats"": 0.27699970290715625, ""ced"": 0.33610520295685026}"
bvcc,2,singleton,4,269,whisper+wavlm+beats+ced,0.263908973211582,0.2357038204224529,35,995,"{""whisper"": 0.23697131416972955, ""wavlm"": 0.25685617161403496, ""beats"": 0.24051401834182956, ""ced"": 0.265658495874406}"
bvcc,2,singleton,5,301,whisper+wavlm+beats+speaker+ced,0.2618802369628961,0.2343217859361329,35,995,"{""whisper"": 0.2233263557121648, ""wavlm"": 0.2300619684645082, ""beats"": 0.21762702222204522, ""speaker"": 0.10221746138866634, ""ced"": 0.2267671922126155}"
bvcc,2,singleton,6,303,whisper+contentvec12+wavlm+beats+speaker+ced,0.2595058516177707,0.2346632392957646,35,995,"{""whisper"": 0.19997436464065835, ""contentvec12"": 0.11013883601667611, ""wavlm"": 0.1772305859632098, ""beats"": 0.2107514550022839, ""speaker"": 0.07975447853773884, ""ced"": 0.22215027983943303}"
bvcc,2,singleton,7,815,whisper+contentvec12+wavlm+beats+speaker+ced+egemaps,0.259505851617923,0.2346632341929674,35,995,"{""whisper"": 0.199974454247958, ""contentvec12"": 0.11013858341601243, ""wavlm"": 0.1772308971353234, ""beats"": 0.2107507570031748, ""speaker"": 0.07975517594138906, ""ced"": 0.22215013225614239, ""egemaps"": 1.0630131139143464e-17}"
bvcc,2,singleton,8,831,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+ced+egemaps,0.2595058516177142,0.2346632365163577,35,995,"{""whisper"": 0.19997427509469642, ""contentvec12"": 0.11013874988189283, ""wavlm"": 0.1772304599705308, ""beats"": 0.21075096979880847, ""auditory_erb"": 0.0, ""speaker"": 0.07975508941455885, ""ced"": 0.22215045583951273, ""egemaps"": 5.026457272996845e-18}"
bvcc,2,singleton,9,895,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+ced+egemaps,0.2595058516176283,0.234663230407453,35,995,"{""whisper"": 0.19997433575528897, ""contentvec12"": 0.110138754126906, ""wavlm"": 0.1772302027045634, ""beats"": 0.21075132304734398, ""auditory_erb"": 0.0, ""speaker"": 0.07975471310731962, ""rmvpe_cont"": 0.0, ""ced"": 0.22215067125857807, ""egemaps"": 1.667101460900597e-18}"
bvcc,2,singleton,10,1023,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,0.2595058516176228,0.2346632290838482,35,995,"{""whisper"": 0.19997434481650053, ""contentvec12"": 0.1101387328440442, ""wavlm"": 0.17723018264457446, ""beats"": 0.21075132544342123, ""auditory_erb"": 0.0, ""speaker"": 0.07975470976509232, ""rmvpe_cont"": 0.0, ""rmvpe_quant"": 1.878496069116894e-17, ""ced"": 0.22215070448636728, ""egemaps"": 0.0}"
bvcc,2,inner_search,1,256,ced,0.3618437648562879,0.3253231473672867,35,995,"{""ced"": 1.0}"
bvcc,2,inner_search,2,260,wavlm+ced,0.2918184046629249,0.2677458379388623,35,995,"{""wavlm"": 0.47938007874254046, ""ced"": 0.5206199212574596}"
bvcc,2,inner_search,3,261,whisper+wavlm+ced,0.2744517031292388,0.2430838210994123,35,995,"{""whisper"": 0.2646907289239433, ""wavlm"": 0.3205238527366213, ""ced"": 0.41478541833943533}"
bvcc,2,inner_search,4,269,whisper+wavlm+beats+ced,0.263908973211582,0.2357038204224529,35,995,"{""whisper"": 0.23697131416972955, ""wavlm"": 0.25685617161403496, ""beats"": 0.24051401834182956, ""ced"": 0.265658495874406}"
bvcc,2,inner_search,5,271,whisper+contentvec12+wavlm+beats+ced,0.2606919760106059,0.2359571810798061,35,995,"{""whisper"": 0.2069132305180621, ""contentvec12"": 0.12563472455079883, ""wavlm"": 0.18987385568033713, ""beats"": 0.22693399956441376, ""ced"": 0.25064418968638824}"
bvcc,2,inner_search,6,303,whisper+contentvec12+wavlm+beats+speaker+ced,0.2595058516177707,0.2346632392957646,35,995,"{""whisper"": 0.19997436464065835, ""contentvec12"": 0.11013883601667611, ""wavlm"": 0.1772305859632098, ""beats"": 0.2107514550022839, ""speaker"": 0.07975447853773884, ""ced"": 0.22215027983943303}"
