dataset,feature,relative_mse_tolerance,extreme,solver_success,weight,mse_threshold,loss,loss_active,n_active_lower_bounds,primal_residual,stationarity_residual,complementarity_residual,dual_fit_cost
brspeech,auditory_erb,0.01,max,1,0.008493789658858488,1.0201059428386599,1.0201059428386792,1,5,1.9317880628477724e-14,6.642823069391568e-09,1.5714190286946643e-14,3.620473182677005e-17
brspeech,speaker,0.01,min,1,0.0,1.0201059428386599,1.0100058839986732,0,6,0.0,4.695012019230767e-06,2.061157484167017e-21,7.93552962985969e-11
brspeech,speaker,0.01,max,1,0.10411272157578548,1.0201059428386599,1.0201059428390566,1,5,3.9679370900103095e-13,1.255000254829497e-07,2.521700523325487e-12,1.1549806464993886e-14
brspeech,rmvpe_cont,0.01,min,1,1.0752041679566011e-16,1.0201059428386599,1.0100058839986732,0,6,0.0,4.69501201923077e-06,1.0752092160530928e-16,7.935529629859699e-11
brspeech,rmvpe_cont,0.01,max,1,0.05851643033306382,1.0201059428386599,1.0201059428386665,1,5,6.661338147750939e-15,1.2742695787437697e-11,3.2991762788534385e-14,1.4130197591495794e-22
brspeech,rmvpe_quant,0.01,min,1,2.4389447492650103e-16,1.0201059428386599,1.0100058839986732,0,6,0.0,4.695012019230766e-06,2.438956200139922e-16,7.935529629859684e-11
brspeech,rmvpe_quant,0.01,max,1,0.015665837085569536,1.0201059428386599,1.02010594283876,1,5,1.0014211682118912e-13,6.358921611493429e-09,1.4633091688446154e-13,3.278381596601119e-17
brspeech,ced,0.01,min,1,1.67055960525666e-16,1.0201059428386599,1.0100058839986732,0,6,0.0,4.695012019230762e-06,1.6705674485540854e-16,7.935529629859674e-11
brspeech,ced,0.01,max,1,0.0882305251588468,1.0201059428386599,1.0201059428386632,1,5,3.3306690738754696e-15,3.571088313947257e-09,1.8959103820205977e-14,1.2143390364557589e-17
brspeech,egemaps,0.01,min,1,0.37710281171999904,1.0201059428386599,1.0201059428387023,1,4,4.241051954068098e-14,2.62667485984025e-07,3.3965712345005316e-13,9.832989491063455e-14
brspeech,egemaps,0.01,max,1,0.6266167477061011,1.0201059428386599,1.0201059428386612,1,7,1.3322676295501878e-15,1.3025579725933767e-08,7.203651221444094e-15,1.6966564621343043e-16
bvcc,whisper,0.001,min,1,0.21367550704598995,0.24886835996423773,0.2488683599642425,1,4,4.773959005888173e-15,4.2306742775721773e-07,3.437890523485968e-13,2.1741349168126072e-13
bvcc,whisper,0.001,max,1,0.28529131851733097,0.24886835996423773,0.24886835996423867,1,4,9.43689570931383e-16,4.095792638381113e-08,6.795829503226531e-14,1.1408392045949297e-15
bvcc,contentvec12,0.001,min,1,0.02279699575000098,0.24886835996423773,0.24886835996423792,1,4,1.942890293094024e-16,2.5632331368541372e-08,1.5078346292218753e-14,5.176221993575452e-16
bvcc,contentvec12,0.001,max,1,0.09997633202067217,0.24886835996423773,0.2488683599642416,1,4,3.858025010572419e-15,3.563476305146196e-07,2.994128893045093e-13,1.0805959150550615e-13
bvcc,wavlm,0.001,min,1,0.12440292399539836,0.24886835996423773,0.24886835996423848,1,4,7.494005416219807e-16,9.988771321189915e-08,6.450732766492408e-14,7.571578788319912e-15
bvcc,wavlm,0.001,max,1,0.21000625145013857,0.24886835996423773,0.2488683599642399,1,4,2.1649348980190553e-15,1.8753031261198316e-07,1.8635450601259693e-13,4.115410752184403e-14
bvcc,beats,0.001,min,1,0.16087823114146135,0.24886835996423773,0.2488683599642382,1,4,4.718447854656915e-16,2.0781086629284573e-08,3.739153891660055e-14,3.6251026182118026e-16
bvcc,beats,0.001,max,1,0.23968613570769454,0.24886835996423773,0.2488683599642409,1,4,3.164135620181696e-15,1.7965235343808672e-07,2.507432824228242e-13,4.470250499698188e-14
bvcc,auditory_erb,0.001,min,1,9.507640430464103e-18,0.24886835996423773,0.24861974022401373,0,4,0.0,4.88281250000001e-06,9.507663642476873e-18,5.3644180297851535e-11
bvcc,auditory_erb,0.001,max,1,0.0027503761154085093,0.24886835996423773,0.24886835996426865,1,3,3.091971123581061e-14,3.3565115042932803e-07,3.386440253908477e-13,9.74818727854106e-14
bvcc,speaker,0.001,min,1,0.05913414217604344,0.24886835996423773,0.24886835996423784,1,4,2.220446049250313e-16,1.1166623181679824e-11,8.999648588132116e-15,9.202848224029271e-23
bvcc,speaker,0.001,max,1,0.13974822586767627,0.24886835996423773,0.24886835996424012,1,4,2.3869795029440866e-15,1.1309072478482562e-07,1.934924470320119e-13,1.4720034557866588e-14
bvcc,rmvpe_cont,0.001,min,1,0.0,0.24886835996423773,0.24861974022401373,0,4,0.0,4.882812500000006e-06,6.963603830906321e-23,5.364418029785156e-11
bvcc,rmvpe_cont,0.001,max,1,0.003337307003803365,0.24886835996423773,0.24886835996423926,1,3,1.5265566588595902e-15,6.208811798025238e-09,2.0133038388776356e-14,6.501137280331175e-17
bvcc,rmvpe_quant,0.001,min,1,1.8211870110457504e-18,0.24886835996423773,0.24861974022401373,0,4,0.0,3.3306690738754696e-16,1.8211870110457496e-18,7.892943236838199e-32
bvcc,rmvpe_quant,0.001,max,1,0.0030185125784411068,0.24886835996423773,0.24886835996427423,1,3,3.649858193455202e-14,2.407924060698896e-07,4.360504274141283e-13,7.195960656248531e-14
bvcc,ced,0.001,min,1,0.17829175648481804,0.24886835996423773,0.24886835996425613,1,4,1.840194663316197e-14,1.5696929311914687e-07,1.6250385398770857e-12,2.7521945352333328e-14
bvcc,ced,0.001,max,1,0.2661121798418158,0.24886835996423773,0.24886835996423973,1,4,1.9984014443252818e-15,7.194042916935928e-08,1.764747874968057e-13,4.105465647765493e-15
bvcc,egemaps,0.001,min,1,0.0,0.24886835996423773,0.24861974022401373,0,4,0.0,4.882812500000003e-06,6.963603830906318e-23,5.3644180297851516e-11
bvcc,egemaps,0.001,max,1,0.007479243259012575,0.24886835996423773,0.2488683599642502,1,3,1.2462253451417382e-14,1.0448506060356522e-08,3.564457722130833e-13,1.5166421666048e-16
bvcc,whisper,0.005,min,1,0.16941450144641532,0.24986283892513378,0.24986283892514097,1,4,7.188694084447889e-15,7.89589698069193e-08,2.3151456560643175e-13,6.145029875812208e-15
bvcc,whisper,0.005,max,1,0.32955232411692087,0.24986283892513378,0.24986283892513392,1,4,1.3877787807814457e-16,5.0489548097942816e-09,4.46939313463944e-15,3.284407666165451e-17
bvcc,contentvec12,0.005,min,1,3.3660611511276852e-15,0.24986283892513378,0.24986283892516895,1,1,3.5166314305001833e-14,2.220446049250313e-16,3.366061151127684e-15,4.283614371921302e-32
bvcc,contentvec12,0.005,max,1,0.14767578504172632,0.24986283892513378,0.24986283892513475,1,4,9.71445146547012e-16,1.4422989025320021e-08,3.371620779072676e-14,1.8214082954500878e-16
bvcc,wavlm,0.005,min,1,0.07149715810392483,0.24986283892513378,0.24986283892513503,1,4,1.2490009027033011e-15,9.672744827327051e-10,4.8080923032860253e-14,1.233922698179886e-18
bvcc,wavlm,0.005,max,1,0.26291201734148123,0.24986283892513378,0.24986283892513428,1,4,4.996003610813204e-16,7.294152637449258e-08,1.92323693789902e-14,4.7061515490742495e-15
bvcc,beats,0.005,min,1,0.11217226756100901,0.24986283892513378,0.24986283892513383,1,4,5.551115123125783e-17,1.1087110562968405e-08,1.9672946575851844e-15,1.2070057327843945e-16
bvcc,beats,0.005,max,1,0.28839209928793413,0.24986283892513378,0.24986283892513383,1,4,2.220446049250313e-16,5.465494279377481e-09,1.9672946585387638e-15,3.409796539265446e-17
bvcc,auditory_erb,0.005,min,1,9.507640430464103e-18,0.24986283892513378,0.24861974022401373,0,4,0.0,4.88281250000001e-06,9.507663642476873e-18,5.3644180297851535e-11
bvcc,auditory_erb,0.005,max,1,0.013243438683101351,0.24986283892513378,0.24986283892517092,1,3,3.7136960173711486e-14,5.986379542077813e-08,3.7800226002880165e-13,6.703651741709951e-15
bvcc,speaker,0.005,min,1,0.00931189850673178,0.24986283892513378,0.24986283892513525,1,4,1.4710455076283324e-15,1.2802823246005346e-09,5.3328138944044625e-14,2.6956604100162037e-18
bvcc,speaker,0.005,max,1,0.18957046953702036,0.24986283892513378,0.24986283892514133,1,4,7.549516567451064e-15,2.5781874479768874e-07,2.73684027143237e-13,6.628700386620973e-14
