dataset,method,k,n_systems,n_items,utterance_mse,equal_system_mse,system_srcc,feature
SingMOS,gate,4,31,2000,0.3790429784584245,0.3801218840471779,0.8645161290322582,
SingMOS,gate,5,31,2000,0.3735412724893345,0.3745003685103462,0.8790322580645162,
SingMOS,gate,6,31,2000,0.3752980562485384,0.3762277839481203,0.8814516129032259,
SingMOS,gate,7,31,2000,0.3733242574259771,0.3741659574542402,0.8770161290322582,
SingMOS,gate,8,31,2000,0.3735459118210422,0.3743758526223162,0.8770161290322582,
SingMOS,gate,9,31,2000,0.3735458963173737,0.3743758362552716,0.8770161290322582,
SingMOS,gate,10,31,2000,0.3735458678497764,0.3743758070605889,0.8770161290322582,
SingMOS,inner_search,1,31,2000,0.4754980012793663,0.4778721169420685,0.7294354838709678,
SingMOS,inner_search,2,31,2000,0.4032015695694942,0.4041036066557952,0.8838709677419355,
SingMOS,inner_search,3,31,2000,0.3911013462804242,0.3920759436963115,0.8697580645161292,
SingMOS,inner_search,4,31,2000,0.3781179874777372,0.379290777335384,0.8681451612903227,
SingMOS,inner_search,5,31,2000,0.3728804664384316,0.3739271713374775,0.8729838709677421,
SingMOS,inner_search,6,31,2000,0.3739744889881865,0.3749174838591843,0.8737903225806453,
SingMOS,inner_search,7,31,2000,0.3733242574259771,0.3741659574542402,0.8770161290322582,
SingMOS,inner_search,8,31,2000,0.3735458775057478,0.3743758173456903,0.8770161290322582,
SingMOS,inner_search,9,31,2000,0.3735459037218562,0.3743758442070922,0.8770161290322582,
SingMOS,inner_search,10,31,2000,0.3735458678497764,0.3743758070605889,0.8770161290322582,
SingMOS,shapley,1,31,2000,0.4662047966684123,0.4691956547084303,0.8161290322580647,
SingMOS,shapley,2,31,2000,0.4032015695694942,0.4041036066557952,0.8838709677419355,
SingMOS,shapley,3,31,2000,0.3860505078723123,0.3869497187272295,0.8536290322580645,
SingMOS,shapley,4,31,2000,0.3790429784584245,0.3801218840471779,0.8645161290322582,
SingMOS,shapley,5,31,2000,0.3802560078377233,0.3812881805377825,0.8697580645161292,
SingMOS,shapley,6,31,2000,0.3786784202280189,0.3796752330460256,0.8649193548387099,
SingMOS,shapley,7,31,2000,0.3770968183119881,0.3780638267512534,0.8701612903225808,
SingMOS,shapley,8,31,2000,0.3778192442592914,0.3787023481801836,0.8733870967741937,
SingMOS,shapley,9,31,2000,0.3758790866633358,0.3767874654162463,0.8733870967741937,
SingMOS,shapley,10,31,2000,0.3735458678497764,0.3743758070605889,0.8770161290322582,
SingMOS,singleton,1,31,2000,0.4754980012793663,0.4778721169420685,0.7294354838709678,
SingMOS,singleton,2,31,2000,0.4089344948930209,0.4104727689026156,0.828225806451613,
SingMOS,singleton,3,31,2000,0.383393938465119,0.3842396752871132,0.8592741935483872,
SingMOS,singleton,4,31,2000,0.3836024780848878,0.3844035860628437,0.8580645161290325,
SingMOS,singleton,5,31,2000,0.381027026095656,0.3819369370630763,0.8588709677419356,
SingMOS,singleton,6,31,2000,0.3803901241145251,0.3814232065000255,0.8669354838709679,
SingMOS,singleton,7,31,2000,0.37867841299194,0.3796752245556927,0.8649193548387099,
SingMOS,singleton,8,31,2000,0.3787285957907118,0.3796454738865156,0.8661290322580645,
SingMOS,singleton,9,31,2000,0.3760218180853518,0.3769510501470458,0.8774193548387097,
SingMOS,singleton,10,31,2000,0.3735458678497764,0.3743758070605889,0.8770161290322582,
TMHINT-QI,gate,1,98,11644,1.071736787414235,0.998575978713528,0.9307899023627372,
TMHINT-QI,gate,2,98,11644,0.9604181239744848,0.9341026994910716,0.9566046216620648,
TMHINT-QI,gate,3,98,11644,0.9377591086932918,0.9158165730228636,0.9597987867321964,
TMHINT-QI,gate,4,98,11644,0.9161759121308546,0.9034005340436972,0.9624765299047618,
TMHINT-QI,gate,5,98,11644,0.9035004269375304,0.8993196858601425,0.96316509243485,
TMHINT-QI,gate,6,98,11644,0.9044244505107354,0.8998590042406428,0.9630312052762218,
TMHINT-QI,gate,7,98,11644,0.9050507756101428,0.9000532159123531,0.9623426427461336,
TMHINT-QI,gate,8,98,11644,0.9050507618274748,0.9000532028785291,0.9623426427461336,
TMHINT-QI,gate,9,98,11644,0.9050507176094184,0.9000531798248544,0.9623426427461336,
TMHINT-QI,gate,10,98,11644,0.9050507755301253,0.9000532059991126,0.9623426427461336,
TMHINT-QI,inner_search,1,98,11644,0.986450178971738,0.975445552478847,0.9398814779914952,
TMHINT-QI,inner_search,2,98,11644,0.9625883780602682,0.9363142756642958,0.95001864857335,
TMHINT-QI,inner_search,3,98,11644,0.9264385681863062,0.9127166669641128,0.9591038486231258,
TMHINT-QI,inner_search,4,98,11644,0.9161759121308546,0.9034005340436972,0.9624765299047618,
TMHINT-QI,inner_search,5,98,11644,0.9135771654565163,0.9016729815280088,0.9626932995901598,
TMHINT-QI,inner_search,6,98,11644,0.904424448298056,0.8998590018856755,0.9630312052762218,
TMHINT-QI,inner_search,7,98,11644,0.9050507680099034,0.9000532078192393,0.9623426427461336,
TMHINT-QI,inner_search,8,98,11644,0.9050507693040216,0.9000532108699489,0.9623426427461336,
TMHINT-QI,inner_search,9,98,11644,0.9050507174970202,0.9000531797145891,0.9623426427461336,
TMHINT-QI,inner_search,10,98,11644,0.9050507755301253,0.9000532059991126,0.9623426427461336,
TMHINT-QI,shapley,1,98,11644,0.986450178971738,0.975445552478847,0.9398814779914952,
TMHINT-QI,shapley,2,98,11644,0.961976674055808,0.9356187214838282,0.9533275740651632,
TMHINT-QI,shapley,3,98,11644,0.917940205290792,0.9137910630088452,0.9581793896706924,
TMHINT-QI,shapley,4,98,11644,0.9050653951931332,0.9024120355226788,0.9609336397910456,
TMHINT-QI,shapley,5,98,11644,0.9035004269375304,0.8993196858601425,0.96316509243485,
TMHINT-QI,shapley,6,98,11644,0.9044244508605817,0.8998590044665582,0.9630312052762218,
TMHINT-QI,shapley,7,98,11644,0.9050507663058974,0.9000532057950889,0.9623426427461336,
TMHINT-QI,shapley,8,98,11644,0.9050507443960784,0.900053207608978,0.9623426427461336,
