dataset,feature,phi_utt,utt_lo,utt_hi,phi_sys,sys_lo,sys_hi,gate,zero_gate,analysis,method,reference,mean_normalized_mse_delta,ci95_low,ci95_high,probability_delta_lt_0,n_corpora,n_budgets,n_bootstrap,p_two_sided_bootstrap,p_holm_all_five,protocol,n_pairs,n_test_systems,rho_oof_correlation_vs_negative_interaction,rho_oof_ci95_test_system_sampling_interaction_only_low,rho_oof_ci95_test_system_sampling_interaction_only_high,rho_test_correlation_vs_negative_interaction,rho_test_joint_system_bootstrap_ci95_low,rho_test_joint_system_bootstrap_ci95_high,max_saved_mse_reconstruction_error,uncertainty_scope
BVCC,Speaker,0.0857772467906875,0.0634556531886083,0.1100920878530931,0.072802843485155,0.0561868578797709,0.0898209109271502,0.0994409088603685,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
BVCC,RMVPE-c,0.0067889668950507,0.000954775895871,0.0131147377460796,0.0067530792147092,0.0014076395422833,0.0120815799832431,2.347903861383996e-17,True,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
BVCC,RMVPE-q,0.0033863461242196,-0.0019076108635658,0.0090117750548526,0.0076031227125359,0.0025370678376242,0.0130490630575026,0.0,True,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
BVCC,CED,0.1157634226172089,0.0909491093737631,0.142090446350557,0.103767362512675,0.0820012031579161,0.1262687474428684,0.2222015971087664,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
BVCC,eGeMAPS,0.0499943334074645,0.0332102151987628,0.0683928122865818,0.0498801813267805,0.0364907292667207,0.06299459390462,0.0,True,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
SingMOS,Whisper,-0.0113154041934594,-0.0535102657689403,0.0250649971712406,-0.0024208741521405,-0.0294777619615628,0.02278781367431,0.1035732959173086,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
SingMOS,ContentVec,-0.0004963248022334,-0.0214810848053355,0.0199927199541183,0.0058608695571012,-0.015065307566672,0.0232177099826892,0.0761355702021474,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
SingMOS,WavLM,0.0320920255035725,0.0143814592861213,0.048876017088217,0.0336608863230181,0.0147597045342303,0.0515331112529952,0.2156314321177969,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
SingMOS,BEATs,0.0374934759593353,0.0154531313823121,0.0600177220597007,0.0391885707091484,0.0174521470137603,0.0619152538826185,0.1525446447712445,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
SingMOS,ERB,0.0180568901199471,0.006455748814453,0.0290704398338829,0.0145693052149674,0.0042819777972403,0.0240992098626449,1.0052997299597864e-17,True,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
SingMOS,Speaker,0.0323836608135861,0.0231189028201393,0.0411911329428454,0.0295279006158427,0.0183489214997654,0.0405943564009308,0.0078033507166472,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
SingMOS,RMVPE-c,0.0111100050366443,0.0047135490225675,0.0177184839869669,0.0082686325584145,0.003354066242742,0.0131985673501628,6.998570022019254e-18,True,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
SingMOS,RMVPE-q,0.0027011967415843,-0.0115742418854959,0.0142453035206302,0.0057928329230459,-0.003151297172012,0.0137866596977967,4.211818390662805e-18,True,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
SingMOS,CED,0.0604727135339748,0.0345835490485434,0.0855933498762337,0.0666491263240064,0.0455955455016954,0.0879476035512246,0.2313996295974314,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
SingMOS,eGeMAPS,0.0578756057966574,0.0422927066314214,0.0738136093503081,0.0543040628360398,0.0397975312434941,0.069457677758345,0.2129120766774237,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
TMHINT-QI,Whisper,0.1039670761390876,0.0607224542048957,0.1638098195755256,0.0718336719518081,0.0594373620149881,0.0854872386953832,0.1921908739270383,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
TMHINT-QI,ContentVec,0.0804864321153501,0.0328547393386687,0.1475458508207185,0.044550298437511,0.0321003952058899,0.0587006278296948,0.0716131980848846,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
TMHINT-QI,WavLM,0.1063505830798672,0.0576827260052567,0.1719747928910561,0.0732214893101012,0.0579564277009978,0.0897988889528569,0.1696860716470763,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
TMHINT-QI,BEATs,0.1035027344665254,0.0542416313650376,0.1707454488915336,0.0665204518043925,0.0520917545049304,0.0819609828273533,0.2710298853508606,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
TMHINT-QI,ERB,0.0221572814320149,0.0083652310185346,0.0386616244595658,0.0133046866968517,0.007065501952863,0.0197333581020287,0.0,True,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
TMHINT-QI,Speaker,0.0724033626236888,0.0334597460521683,0.1268473811781455,0.043120016247377,0.0326015338104596,0.0550159027274989,0.0117587995048376,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
TMHINT-QI,RMVPE-c,0.0023433247092575,0.0007592386082194,0.0040258664782861,0.0028984687422943,0.0012013691701235,0.0045957701009016,3.083088093186836e-17,True,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
TMHINT-QI,RMVPE-q,0.0032106231303629,-0.002829864622821,0.0091120135830958,0.0006017892265691,-0.0035763300621393,0.0037868458319237,7.518079151371956e-19,True,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
TMHINT-QI,CED,0.096367513309285,0.0469022274308657,0.1648822345174821,0.0575550195899978,0.0436892531757235,0.0728064100934323,0.2837211714853023,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
TMHINT-QI,eGeMAPS,0.0694904899711595,0.0255694289011218,0.1317737306002351,0.0348169727069636,0.0240806191749894,0.0471676507641791,0.0,True,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nested_selection_macro_bootstrap,gate,inner_search,0.0062320708876333,0.0002794120220363,0.0114727412250978,0.0208,4.0,4.0,10000.0,0.0416,0.208,,,,,,,,,,,
,,,,,,,,,,nested_selection_macro_bootstrap,shapley,inner_search,0.0020161618706174,-0.0098287482699045,0.0175170109798945,0.3872,4.0,4.0,10000.0,0.7744,1.0,,,,,,,,,,,
,,,,,,,,,,nested_selection_macro_bootstrap,singleton,inner_search,0.001423626102921,-0.0088470160532837,0.0101775558201606,0.3668,4.0,4.0,10000.0,0.7336,1.0,,,,,,,,,,,
,,,,,,,,,,nested_selection_macro_bootstrap,gate,singleton,0.0048084447847123,-0.0062314420927512,0.0161022358044758,0.2136,4.0,4.0,10000.0,0.4272,1.0,,,,,,,,,,,
,,,,,,,,,,nested_selection_macro_bootstrap,shapley,singleton,0.0005925357676964,-0.0083857062743763,0.0135766266521207,0.4721,4.0,4.0,10000.0,0.9442,1.0,,,,,,,,,,,
BRSpeechMOS,,,,,,,,,,interaction_test_system_bootstrap,,,,,,,,,2000.0,,,reduced_9_player_no_egemaps_common_alpha10,36.0,6.0,0.3243243243243243,0.0167310167310167,0.4800514800514801,0.5994851994851995,0.1160875160875161,0.7794079794079793,4.176128430843917e-05,test-system sampling; fitted experts and gates fixed
BVCC,,,,,,,,,,interaction_test_system_bootstrap,,,,,,,,,2000.0,,,reduced_9_player_no_egemaps_common_alpha10,36.0,187.0,0.903989703989704,0.8385971685971688,0.931023166023166,0.9634491634491634,0.9106628056628058,0.978893178893179,1.1299545107312792e-05,test-system sampling; fitted experts and gates fixed
SingMOS,,,,,,,,,,interaction_test_system_bootstrap,,,,,,,,,2000.0,,,reduced_9_player_no_egemaps_common_alpha10,36.0,35.0,0.3261261261261261,0.1232754182754183,0.7523873873873873,0.3353925353925354,0.1853024453024453,0.7444144144144144,9.940391963525474e-05,test-system sampling; fitted experts and gates fixed
TMHINT-QI,,,,,,,,,,interaction_test_system_bootstrap,,,,,,,,,2000.0,,,reduced_9_player_no_egemaps_common_alpha10,36.0,97.0,0.9377091377091378,0.8087451737451739,0.9508365508365508,0.9567567567567568,0.8607464607464609,0.9742599742599743,2.3649570061734515e-05,test-system sampling; fitted experts and gates fixed
