dataset,feature_i,feature_j,oof_pearson,oof_spearman,shapley_interaction_mse_utility
bvcc,auditory_erb,rmvpe_quant,0.18960261344909668,0.20241565181183427,-0.004703924648853091
bvcc,auditory_erb,ced,0.4788529574871063,0.48114492131005904,-0.026272369801926498
bvcc,auditory_erb,egemaps,0.5675614476203918,0.575715856018422,-0.024457477618286486
bvcc,speaker,rmvpe_cont,0.279984712600708,0.32018647019356566,-0.0067987564343209165
bvcc,speaker,rmvpe_quant,0.22285637259483337,0.24892959824148106,-0.002856661322043222
bvcc,speaker,ced,0.7865149974822998,0.7833103838172059,-0.09142877995080774
bvcc,speaker,egemaps,0.6459193825721741,0.661004730285856,-0.053818658995679516
bvcc,rmvpe_cont,rmvpe_quant,0.20897328853607178,0.3045801668910208,-0.0011336436430358593
bvcc,rmvpe_cont,ced,0.3009357154369354,0.33410204556087814,-0.007539950870584056
bvcc,rmvpe_cont,egemaps,0.3169185519218445,0.3707563229157052,-0.007159504618961848
bvcc,rmvpe_quant,ced,0.22813767194747925,0.2566791271336582,-0.0035854188764760145
bvcc,rmvpe_quant,egemaps,0.2012958526611328,0.22018351127261554,-0.0025920462350292645
bvcc,ced,egemaps,0.668874204158783,0.6647572816207201,-0.057340527744345435
singmos,whisper,contentvec12,0.4272250533103943,0.43315192573716504,0.0391323320900077
singmos,whisper,wavlm,0.5634245276451111,0.5702571836304531,0.026398929385095294
singmos,whisper,beats,0.46632450819015503,0.4819060391450869,0.015524604642078596
singmos,whisper,auditory_erb,0.30387771129608154,0.3203752175354928,0.032266108494164246
singmos,whisper,speaker,0.3807445168495178,0.3948065114782572,0.023413818782427
singmos,whisper,rmvpe_cont,-0.03373626619577408,-0.06407655662956979,0.031703717011670005
singmos,whisper,rmvpe_quant,0.15201523900032043,0.2538719476104106,0.0368728841578441
singmos,whisper,ced,0.48698627948760986,0.5179919730232041,0.014900949780000783
singmos,whisper,egemaps,0.41280055046081543,0.42900897868278504,0.017773543749622634
