scenario,dataset,k,method,reference,delta_pct
leave_out_brspeech,bvcc,1,gate,inner_search,0.0
leave_out_brspeech,bvcc,1,singleton,inner_search,0.0
leave_out_brspeech,bvcc,1,shapley,inner_search,0.0
leave_out_brspeech,bvcc,2,gate,inner_search,1.7495295528414012
leave_out_brspeech,bvcc,2,singleton,inner_search,3.504271150109644
leave_out_brspeech,bvcc,2,shapley,inner_search,5.709492490330058
leave_out_brspeech,bvcc,3,gate,inner_search,0.3894156084968223
leave_out_brspeech,bvcc,3,singleton,inner_search,4.570549945615519
leave_out_brspeech,bvcc,3,shapley,inner_search,1.9236257303118114
leave_out_brspeech,bvcc,5,gate,inner_search,0.0
leave_out_brspeech,bvcc,5,singleton,inner_search,-0.10925599872337627
leave_out_brspeech,bvcc,5,shapley,inner_search,-0.10925599872337627
leave_out_brspeech,singmos,1,gate,inner_search,2.500843982251747
leave_out_brspeech,singmos,1,singleton,inner_search,0.0
leave_out_brspeech,singmos,1,shapley,inner_search,0.09176964249170064
leave_out_brspeech,singmos,2,gate,inner_search,3.667010545743305
leave_out_brspeech,singmos,2,singleton,inner_search,1.6961282337064054
leave_out_brspeech,singmos,2,shapley,inner_search,0.0
leave_out_brspeech,singmos,3,gate,inner_search,-1.2294990068467773
leave_out_brspeech,singmos,3,singleton,inner_search,-1.9752239797569837
leave_out_brspeech,singmos,3,shapley,inner_search,-1.2294990068467773
leave_out_brspeech,singmos,5,gate,inner_search,0.1579165419052117
leave_out_brspeech,singmos,5,singleton,inner_search,2.154925804652762
leave_out_brspeech,singmos,5,shapley,inner_search,1.9702583391831303
leave_out_brspeech,tmhintqi,1,gate,inner_search,1.7775334459995005
leave_out_brspeech,tmhintqi,1,singleton,inner_search,0.0
leave_out_brspeech,tmhintqi,1,shapley,inner_search,0.0
leave_out_brspeech,tmhintqi,2,gate,inner_search,0.050568827727576204
leave_out_brspeech,tmhintqi,2,singleton,inner_search,-0.9848771665593333
leave_out_brspeech,tmhintqi,2,shapley,inner_search,-0.8753472220193426
leave_out_brspeech,tmhintqi,3,gate,inner_search,0.35082733407357636
leave_out_brspeech,tmhintqi,3,singleton,inner_search,0.6100947604173163
